monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Seara,16,53.3,13,81.2,12,75.0,3,18.8,0,0.0,0,0.0,0,0.0,0,0.0,<--,Seara,13,43.3,7,53.8,8,61.5,2,15.4,4,30.8,0,0.0,1,25.0,0,0.0
Ganymede,16,53.3,11,68.8,1,6.2,3,18.8,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ganymede,5,16.7,5,100.0,0,0.0,2,40.0,0,0.0,0,0.0,0,0.0,0,0.0
Yeonhong,30,100.0,21,70.0,8,26.7,3,10.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Yeonhong,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Sian,2,6.7,2,100.0,0,0.0,1,50.0,0,0.0,2,100.0,0,0.0,2,100.0,<--,Sian,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Okeanos,30,100.0,21,70.0,3,10.0,6,20.0,17,56.7,0,0.0,11,64.7,0,0.0,<--,Okeanos,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Vigor,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,1,100.0,<--,Vigor,4,13.3,4,100.0,0,0.0,1,25.0,1,25.0,1,25.0,0,0.0,0,0.0
Verdehile,8,26.7,3,37.5,0,0.0,3,37.5,0,0.0,1,12.5,0,0.0,0,0.0,<--,Verdehile,2,6.7,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Fran,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Fran,13,43.3,9,69.2,3,23.1,3,23.1,1,7.7,3,23.1,1,100.0,1,33.3
Miho,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Miho,2,6.7,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Rica,11,36.7,8,72.7,0,0.0,3,27.3,0,0.0,5,45.5,0,0.0,3,60.0,<--,Rica,4,13.3,4,100.0,0,0.0,4,100.0,0,0.0,1,25.0,0,0.0,0,0.0
Molly,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Molly,10,33.3,6,60.0,0,0.0,0,0.0,4,40.0,1,10.0,1,25.0,0,0.0
Triana,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Triana,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Diana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Diana,2,6.7,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Antares,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Antares,2,6.7,1,50.0,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0,1,100.0
Savannah,18,60.0,12,66.7,0,0.0,1,5.6,0,0.0,3,16.7,0,0.0,3,100.0,<--,Savannah,4,13.3,3,75.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Artamiel,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Artamiel,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
MoLong,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,MoLong,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Vivachel,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vivachel,1,3.3,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Amelia,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Amelia,2,6.7,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Ragdoll,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ragdoll,4,13.3,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
