monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Okeanos,14,82.4,13,92.9,0,0.0,1,7.1,10,71.4,0,0.0,9,90.0,0,0.0,<--,Okeanos,3,17.6,3,100.0,1,33.3,1,33.3,2,66.7,0,0.0,0,0.0,0,0.0
Seara,11,64.7,11,100.0,11,100.0,0,0.0,1,9.1,0,0.0,1,100.0,0,0.0,<--,Seara,5,29.4,4,80.0,1,20.0,1,20.0,1,20.0,0,0.0,0,0.0,0,0.0
Savannah,9,52.9,8,88.9,0,0.0,1,11.1,0,0.0,0,0.0,0,0.0,0,0.0,<--,Savannah,4,23.5,4,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ganymede,3,17.6,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ganymede,3,17.6,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Fran,8,47.1,7,87.5,1,12.5,1,12.5,0,0.0,0,0.0,0,0.0,0,0.0,<--,Fran,2,11.8,2,100.0,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0
Ragdoll,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ragdoll,3,17.6,3,100.0,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
XingZhe,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,XingZhe,1,5.9,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Juno,5,29.4,5,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Juno,3,17.6,3,100.0,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Akroma,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Akroma,1,5.9,1,100.0,1,100.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0
Molly,5,29.4,5,100.0,0,0.0,2,40.0,0,0.0,2,40.0,0,0.0,2,100.0,<--,Molly,2,11.8,2,100.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Dover,1,5.9,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Dover,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Tetra,3,17.6,3,100.0,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,<--,Tetra,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Giana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Giana,4,23.5,4,100.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0
Vanessa,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vanessa,3,17.6,3,100.0,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Velajuel,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Velajuel,1,5.9,1,100.0,0,0.0,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0
Praha,1,5.9,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Praha,1,5.9,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Leo,2,11.8,2,100.0,0,0.0,2,100.0,0,0.0,1,50.0,0,0.0,1,100.0,<--,Leo,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Moore/WaterRYU,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Moore/WaterRYU,3,17.6,3,100.0,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Hathor,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Hathor,2,11.8,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Verdehile,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Verdehile,6,35.3,5,83.3,0,0.0,3,50.0,0,0.0,3,50.0,0,0.0,0,0.0
Chiwu,10,58.8,9,90.0,3,30.0,5,50.0,0,0.0,1,10.0,0,0.0,1,100.0,<--,Chiwu,3,17.6,3,100.0,2,66.7,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0
Barbara,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Barbara,4,23.5,4,100.0,0,0.0,1,25.0,0,0.0,1,25.0,0,0.0,0,0.0
Loren,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Loren,2,11.8,2,100.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
