battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
0,True,Seara,SonZhangLao,Moore/WaterRYU1,Okeanos,Ragdoll,None,Ragdoll,Moore/WaterRYU1,Ragdoll,Hathor,Chiwu,Han,Frigate,Giana,Hathor,None,Chiwu,Giana,2021-01-09 05:06:56,Rosith,thompsin
1,True,Okeanos,Praha,Fran,Juno,SonZhangLao,None,Juno,Okeanos,SonZhangLao,Seara,Ophilia,Pater,Molly,XingZhe,Seara,None,Seara,XingZhe,2021-01-09 05:02:32,Rosith,Ꮤ﹏椛落✿知秋
2,True,Praha,Okeanos,Verdehile,Masha,Seara,Seara,None,Praha,Seara,Juno,Fran,Molly,Savannah,ShiHou,None,ShiHou,Fran,ShiHou,2021-01-09 04:57:47,Rosith,VanessaPlease~
3,True,Okeanos,SonZhangLao,Savannah,Fran,Masha,None,Masha,Okeanos,Masha,Seara,Molly,Juno,Daphnis,Leo,Seara,None,Seara,Leo,2021-01-09 04:52:20,Rosith,VanessaPlease~
4,False,SonZhangLao,Okeanos,Moore/WaterRYU1,Ragdoll,Savannah,None,Savannah,Moore/WaterRYU1,Savannah,Seara,Cheongpung,Fran,Vigor,Juno,Seara,None,Seara,Juno,2021-01-09 04:46:44,Rosith,ジャイアぁん改
5,True,Seara,Okeanos,Ragdoll,Fran,Ethna,None,Ethna,Seara,Ethna,Moore/WaterRYU1,Ganymede,Vigor,Praha,Velajuel,Moore/WaterRYU1,None,Moore/WaterRYU1,Velajuel,2021-01-09 04:41:22,Rosith,boszm
6,True,Savannah,Moore/WaterRYU1,Ragdoll,Fran,Okeanos,Okeanos,None,Moore/WaterRYU1,Okeanos,Ganymede,Seara,Chiwu,Verdehile,Hathor,None,Verdehile,Chiwu,Hathor,2021-01-09 04:37:39,Rosith,boszm
7,True,Okeanos,SonZhangLao,Moore/WaterRYU1,Savannah,Bellenus,Okeanos,None,Moore/WaterRYU1,Bellenus,Wolyung,Seara,Eshir,Ethna,Daphnis,None,Ethna,Wolyung,Daphnis,2021-01-08 07:38:15,Rosith,Camo626
8,True,Moore/WaterRYU1,Okeanos,Leo,SonZhangLao,Magnum,None,Magnum,Moore/WaterRYU1,Magnum,Wolyung,Shimitae,Bernard,Seara,Lushen,Wolyung,None,Wolyung,Lushen,2021-01-08 06:50:46,Rosith,SheisouTV
9,True,SonZhangLao,Praha,Savannah,Daphnis,Okeanos,None,Daphnis,Daphnis,Okeanos,Fran,Vigor,Velajuel,Verdehile,Miho,Fran,None,Velajuel,Miho,2021-01-08 06:47:04,Rosith,Mιɳɠყυ
10,True,SonZhangLao,Savannah,Ragdoll,Antares,Rica,SonZhangLao,None,Antares,Rica,Seara,Okeanos,Leo,Verdehile,Fran,None,Fran,Leo,Fran,2021-01-08 05:05:16,Rosith,TitoGoflette
11,True,SonZhangLao,Savannah,Fran,Rica,Ragdoll,None,Rica,Fran,Ragdoll,Okeanos,Moore/WaterRYU,Seara,Cheongpung,Giana,Okeanos,None,Seara,Giana,2021-01-08 01:30:08,Rosith,HONG_KFC
12,True,Okeanos,Praha,Ragdoll,Juno,SonZhangLao,Okeanos,None,Okeanos,SonZhangLao,Vigor,Velajuel,Artamiel,Molly,Chow,None,Chow,Artamiel,Chow,2021-01-08 00:13:22,Rosith,哎艾哎
13,True,Okeanos,Savannah,Fran,Daphnis,Moore/WaterRYU1,None,Daphnis,Okeanos,Moore/WaterRYU1,Seara,Vigor,Verdehile,Ophilia,Josephine,Seara,None,Seara,Josephine,2021-01-08 00:06:50,Rosith,Fl0w~
14,True,SonZhangLao,Moore/WaterRYU1,Praha,Juno,Savannah,SonZhangLao,None,Moore/WaterRYU1,Savannah,Okeanos,Fran,Verdehile,Lulu,Seara,None,Lulu,Fran,Seara,2021-01-10 06:55:32,Rosith,ChikuP
15,True,Seara,SonZhangLao,Verdehile,Moore/WaterRYU1,Leo,None,Leo,Moore/WaterRYU1,Leo,Okeanos,Savannah,Chiwu,Gemini,Vancliffe/DarkRYU1,Okeanos,None,Chiwu,Vancliffe/DarkRYU1,2021-01-10 06:48:57,Rosith,Michelin***
16,True,SonZhangLao,Ragdoll,Leo,Daphnis,Praha,SonZhangLao,None,Daphnis,Praha,Bastet,Dusky,Fran,MeiHouWang,Herteit,None,MeiHouWang,MeiHouWang,Herteit,2021-01-10 06:45:22,Rosith,がるがる@
17,True,SonZhangLao,Okeanos,Seara,Fran,Savannah,None,Savannah,SonZhangLao,Savannah,Ragdoll,Molly,Josephine,Artamiel,Amelia,Ragdoll,None,Artamiel,Amelia,2021-01-10 06:41:57,Rosith,︵✿KjmArt
18,True,SonZhangLao,Savannah,Praha,Daphnis,Moore/WaterRYU1,None,Daphnis,SonZhangLao,Moore/WaterRYU1,Okeanos,Fran,Seara,Verdehile,Diana,Okeanos,None,Seara,Diana,2021-01-10 06:35:08,Rosith,Michelin***
19,False,Ragdoll,Praha,SonZhangLao,Rica,Fran,None,Rica,Praha,Fran,Seara,Okeanos,Savannah,Ganymede,Vigor,Seara,None,Seara,Vigor,2021-01-10 06:30:58,Rosith, 연홍 
20,True,SonZhangLao,Okeanos,Savannah,Vigor,Praha,None,Vigor,SonZhangLao,Praha,Ragdoll,Juno,Molly,Fran,Tesarion,Ragdoll,None,Fran,Tesarion,2021-01-10 06:26:11,Rosith, 연홍 
21,False,Okeanos,SonZhangLao,Masha,Praha,Savannah,Okeanos,None,SonZhangLao,Savannah,Seara,Juno,Molly,Jager,Vigor,None,Jager,Seara,Vigor,2021-01-10 06:21:18,Rosith,VanessaPlease~
22,False,Okeanos,SonZhangLao,Ragdoll,Ganymede,Moore/WaterRYU1,None,Ganymede,Ganymede,Moore/WaterRYU1,Seara,Savannah,Barbara,Jager,Fran,Seara,None,Seara,Fran,2021-01-10 06:15:55,Rosith,❁Hanasan❁
23,True,SonZhangLao,Okeanos,Savannah,Masha,Moore/WaterRYU1,None,Masha,SonZhangLao,Moore/WaterRYU1,Seara,Josephine,Loren,Jager,Fran,Seara,None,Seara,Fran,2021-01-10 06:11:47,Rosith,❁Hanasan❁
24,False,SonZhangLao,Okeanos,Praha,Gemini,Savannah,None,Gemini,Gemini,Savannah,Seara,Molly,Nicki,Nephthys,Juno,Seara,None,Seara,Juno,2021-01-10 06:07:36,Rosith,哥改名回欧洲
25,False,Okeanos,SonZhangLao,Verdehile,Savannah,Moore/WaterRYU1,None,Savannah,Okeanos,Moore/WaterRYU1,Seara,Cheongpung,QitianDasheng,Leona,Chiwu,Seara,None,Seara,Chiwu,2021-01-10 06:03:47,Rosith,溅人灬香香
