monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Okeanos,24,80.0,21,87.5,0,0.0,2,8.3,10,41.7,0,0.0,8,80.0,0,0.0,<--,Okeanos,6,20.0,3,50.0,1,16.7,2,33.3,3,50.0,0,0.0,2,66.7,0,0.0
Giana,29,96.7,24,82.8,2,6.9,10,34.5,6,20.7,0,0.0,5,83.3,0,0.0,<--,Giana,1,3.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Vanessa,9,30.0,6,66.7,6,66.7,3,33.3,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vanessa,3,10.0,2,66.7,3,100.0,0,0.0,2,66.7,0,0.0,0,0.0,0,0.0
Chiwu,14,46.7,11,78.6,8,57.1,2,14.3,0,0.0,0,0.0,0,0.0,0,0.0,<--,Chiwu,3,10.0,2,66.7,1,33.3,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Savannah,6,20.0,5,83.3,0,0.0,1,16.7,0,0.0,2,33.3,0,0.0,1,50.0,<--,Savannah,2,6.7,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0
Seara,10,33.3,8,80.0,6,60.0,3,30.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Seara,17,56.7,14,82.4,14,82.4,2,11.8,3,17.6,1,5.9,1,33.3,0,0.0
Fran,5,16.7,4,80.0,1,20.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Fran,7,23.3,5,71.4,1,14.3,2,28.6,0,0.0,0,0.0,0,0.0,0,0.0
Ethna,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ethna,5,16.7,5,100.0,0,0.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0
Elucia,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Elucia,2,6.7,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Tetra,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Tetra,4,13.3,3,75.0,0,0.0,1,25.0,0,0.0,1,25.0,0,0.0,0,0.0
XingZhe,13,43.3,10,76.9,5,38.5,3,23.1,0,0.0,1,7.7,0,0.0,1,100.0,<--,XingZhe,3,10.0,3,100.0,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Antares,3,10.0,2,66.7,0,0.0,0,0.0,0,0.0,1,33.3,0,0.0,0,0.0,<--,Antares,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ganymede,8,26.7,5,62.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ganymede,2,6.7,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Cheongpung,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Cheongpung,7,23.3,5,71.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Yeonhong,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Yeonhong,2,6.7,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Masha,3,10.0,3,100.0,0,0.0,1,33.3,0,0.0,2,66.7,0,0.0,2,100.0,<--,Masha,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Triana,2,6.7,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Triana,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
MeiHouWang,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,MeiHouWang,3,10.0,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Juno,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Juno,11,36.7,10,90.9,2,18.2,1,9.1,0,0.0,0,0.0,0,0.0,0,0.0
Vigor,4,13.3,4,100.0,0,0.0,0,0.0,0,0.0,1,25.0,0,0.0,1,100.0,<--,Vigor,3,10.0,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Verdehile,2,6.7,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,<--,Verdehile,7,23.3,6,85.7,0,0.0,2,28.6,0,0.0,1,14.3,0,0.0,1,100.0
Sekhmet,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Sekhmet,1,3.3,1,100.0,1,100.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0
Praha,3,10.0,3,100.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Praha,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Moore/WaterRYU1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Moore/WaterRYU1,6,20.0,5,83.3,1,16.7,1,16.7,0,0.0,0,0.0,0,0.0,0,0.0
Artamiel,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Artamiel,1,3.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ragdoll,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ragdoll,3,10.0,2,66.7,0,0.0,1,33.3,1,33.3,0,0.0,0,0.0,0,0.0
Barbara,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Barbara,5,16.7,4,80.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Rica,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,1,100.0,<--,Rica,2,6.7,2,100.0,0,0.0,2,100.0,0,0.0,2,100.0,0,0.0,0,0.0
Diana,5,16.7,4,80.0,0,0.0,2,40.0,0,0.0,1,20.0,0,0.0,1,100.0,<--,Diana,2,6.7,2,100.0,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0
Nephthys,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Nephthys,1,3.3,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Triton,1,3.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Triton,2,6.7,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Eshir,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Eshir,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Hathor,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Hathor,1,3.3,1,100.0,0,0.0,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0
Leo,2,6.7,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Leo,2,6.7,2,100.0,0,0.0,2,100.0,0,0.0,1,50.0,0,0.0,0,0.0
Tablo,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Tablo,1,3.3,1,100.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Psamathe,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Psamathe,1,3.3,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bernard,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Bernard,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Molly,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Molly,5,16.7,5,100.0,0,0.0,3,60.0,2,40.0,0,0.0,0,0.0,0,0.0
Anavel,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Anavel,3,10.0,3,100.0,0,0.0,1,33.3,0,0.0,1,33.3,0,0.0,0,0.0
Jager,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Jager,2,6.7,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Jamire,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,1,100.0,<--,Jamire,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bastet,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Bastet,2,6.7,1,50.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0
Akia,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Akia,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
