battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
0,False,Wolyung,Okeanos,Bernard,Shimitae,Lushen,Wolyung,None,Wolyung,Lushen,Seara,Giana,Yeonhong,SonZhangLao,Vanessa,None,SonZhangLao,Seara,Vanessa,2021-01-08 11:59:01,SheisouTV,YєoɴHonG-187
1,False,Wolyung,Seara,Kahli,Odin,Mephisto,None,Mephisto,Wolyung,Mephisto,Molly,Vanessa,Taranys,Diana,Triana,Molly,None,Vanessa,Triana,2021-01-08 11:56:16,SheisouTV,☆étoile☆
2,True,Okeanos,Wolyung,Bernard,Lushen,Leah/LightCHUN-LI1,Okeanos,None,Bernard,Leah/LightCHUN-LI1,Fran,Triana,Antares,Rica,Miho,None,Miho,Rica,Miho,2021-01-08 11:53:03,SheisouTV,BLACKWOLFooo
3,False,Seara,Kahli,Odin,Raki,Wolyung,Wolyung,None,Seara,Wolyung,Vanessa,Diana,Leo,Triana,Laika,None,Laika,Vanessa,Laika,2021-01-08 11:49:06,SheisouTV,ミル☻ミル®
4,True,Wolyung,Bernard,Lushen,Shimitae,Okeanos,None,Shimitae,Wolyung,Okeanos,Cheongpung,Barbara,Belladeon,Perna,Vanessa,Cheongpung,None,Cheongpung,Vanessa,2021-01-08 11:44:56,SheisouTV,まるみそ
5,True,Wolyung,Nicki,Bernard,Shimitae,Lushen,Wolyung,None,Wolyung,Lushen,Okeanos,Woonsa,Giana,Verdehile,Vanessa,None,Verdehile,Woonsa,Vanessa,2021-01-08 11:42:08,SheisouTV,™MrCường➰
6,True,Okeanos,Shimitae,Bernard,Lushen,Wolyung,None,Lushen,Shimitae,Wolyung,Seara,Giana,Cheongpung,Leo,Woonsa,Seara,None,Seara,Woonsa,2021-01-08 11:40:08,SheisouTV,™MrCường➰
7,True,Wolyung,Nicki,Shimitae,Bernard,Raki,None,Raki,Wolyung,Raki,Okeanos,Vanessa,Diana,Miho,Leo,Okeanos,None,Vanessa,Leo,2021-01-08 11:38:23,SheisouTV,apuntando1
8,True,Okeanos,Shimitae,Bernard,Lushen,Wolyung,None,Lushen,Shimitae,Wolyung,Vanessa,Eshir,Seara,Leo,Juno,Vanessa,None,Vanessa,Juno,2021-01-08 11:33:23,SheisouTV,apuntando1
9,True,Wolyung,Okeanos,Bernard,Seara,Raki,Wolyung,None,Wolyung,Raki,Vanessa,Leo,Miho,Ganymede,Taranys,None,Ganymede,Vanessa,Taranys,2021-01-08 11:30:03,SheisouTV,Odizzy
10,True,Wolyung,Kahli,Seara,Taru,Odin,None,Taru,Wolyung,Odin,Molly,Taranys,Artamiel,Amelia,Akroma,Molly,None,Artamiel,Akroma,2021-01-08 11:25:07,SheisouTV,슈마-
11,False,Wolyung,Kahli,Bernard,Leah/LightCHUN-LI1,Seara,Wolyung,None,Wolyung,Seara,Okeanos,Psamathe,Lucifer,Miho,Leo,None,Miho,Psamathe,Leo,2021-01-08 11:20:27,SheisouTV,ホーフガルテン
12,False,Okeanos,Bernard,Seara,Raki,Wolyung,Wolyung,None,Raki,Wolyung,Fran,Miho,Leo,Jager,Ragdoll,None,Jager,Jager,Ragdoll,2021-01-08 11:17:54,SheisouTV,被遗弃的火龙骑
13,False,Wolyung,Okeanos,Seara,Bernard,Kahli,None,Kahli,Wolyung,Kahli,Hathor,XingZhe,Molly,Rica,Triana,Hathor,None,XingZhe,Triana,2021-01-08 11:14:36,SheisouTV,R00T_
14,True,Okeanos,Wolyung,Bernard,Shimitae,Lushen,Okeanos,None,Wolyung,Lushen,Seara,Fran,Chiwu,Malite,Leo,None,Malite,Chiwu,Leo,2021-01-08 11:12:11,SheisouTV,(/\)
15,True,Wolyung,Okeanos,Shimitae,Bernard,Julie,None,Julie,Wolyung,Julie,Seara,Verdehile,Juno,Vigor,Leo,Seara,None,Seara,Leo,2021-01-10 02:04:46,SheisouTV,Krzyzacy
16,False,Okeanos,Psamathe,Wolyung,Bernard,Lushen,Okeanos,None,Psamathe,Lushen,Chiwu,Barbara,Vereesa/DarkCHUN-LI1,SonZhangLao,Molly,None,Molly,Chiwu,Molly,2021-01-10 02:01:49,SheisouTV,dYU1994
17,True,Okeanos,Wolyung,Bernard,Lushen,Julie,Okeanos,None,Bernard,Julie,Ganymede,Rica,Sian,Leo,Chiwu,None,Leo,Ganymede,Chiwu,2021-01-10 01:58:28,SheisouTV,ChaoticFD
18,True,Wolyung,Okeanos,Shimitae,Lushen,Bernard,Wolyung,None,Wolyung,Bernard,Seara,Cheongpung,Chiwu,Ganymede,Triton,None,Triton,Chiwu,Triton,2021-01-10 01:55:20,SheisouTV,`ᛒüẕ~*
19,False,Wolyung,Seara,Barbara,Savannah,Cheongpung,None,Savannah,Wolyung,Cheongpung,Molly,Vigor,Nephthys,Ganymede,Vanessa,Molly,None,Nephthys,Vanessa,2021-01-10 01:53:33,SheisouTV,すで使
20,False,Wolyung,Nicki,Leah/LightCHUN-LI1,Bernard,Lushen,Wolyung,None,Wolyung,Lushen,Seara,Molly,Vigor,Magnum,Leo,None,Magnum,Seara,Leo,2021-01-10 01:50:34,SheisouTV,すで使
