battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
0,True,Okeanos,Wolyung,Han,Pater,Cheongpung,Okeanos,None,Wolyung,Cheongpung,Seara,Fran,Vanessa,Miho,Barbara,None,Miho,Vanessa,Barbara,2021-01-09 07:59:41,Taniss,samantha??
1,True,Okeanos,Wolyung,Ethna,Daphnis,Cheongpung,None,Daphnis,Wolyung,Cheongpung,Seara,Fran,Barbara,Juno,Hathor,Seara,None,Seara,Hathor,2021-01-09 07:56:03,Taniss,samantha??
2,True,Okeanos,Cheongpung,Wolyung,Daphnis,Vigor,None,Daphnis,Wolyung,Vigor,Seara,Verdehile,Fran,Velajuel,Masha,Seara,None,Seara,Masha,2021-01-09 07:52:23,Taniss,赛赛陪我去爬山
3,True,Okeanos,Cheongpung,Wolyung,Ethna,Daphnis,Okeanos,None,Wolyung,Daphnis,Seara,Fran,Diana,Amduat,Ragdoll,None,Amduat,Seara,Ragdoll,2021-01-09 07:48:41,Taniss,ThanatosXC
4,True,Okeanos,Cheongpung,Vigor,Verdehile,Leo,Okeanos,None,Okeanos,Leo,Chiwu,Wolyung,Savannah,Praha,Barbara,None,Praha,Wolyung,Barbara,2021-01-09 07:41:10,Taniss,Nghiem~
5,True,Okeanos,Cheongpung,Wolyung,Han,Daphnis,None,Daphnis,Wolyung,Daphnis,Molly,Jager,Illiana,MeiHouWang,Ragdoll,Molly,None,Jager,Ragdoll,2021-01-09 07:37:36,Taniss,秋风瑟
6,True,Okeanos,Cheongpung,Han,Barbara,Wolyung,Okeanos,None,Okeanos,Wolyung,Jager,Molly,Pater,Leo,Ragdoll,None,Leo,Jager,Ragdoll,2021-01-09 07:33:46,Taniss,秋风瑟
7,True,Cheongpung,Wolyung,Ethna,Daphnis,Okeanos,Okeanos,None,Ethna,Okeanos,Seara,Verdehile,Leo,Amelia,Laika,None,Laika,Leo,Laika,2021-01-09 07:29:23,Taniss,OlhaOTrem!
8,True,Okeanos,Wolyung,Vigor,Barbara,Cheongpung,Okeanos,None,Wolyung,Cheongpung,Juno,Verdehile,MeiHouWang,XingZhe,Nephthys,None,XingZhe,MeiHouWang,Nephthys,2021-01-09 07:26:37,Taniss,Wrath0fHeaven
9,False,Okeanos,Vigor,Wolyung,Karnal/FireM.BISON1,Juno,Okeanos,None,Wolyung,Juno,Cheongpung,Lucifer,Jeogun,Beth,Nephthys,None,Beth,Beth,Nephthys,2021-01-09 07:23:55,Taniss,Wrath0fHeaven
10,False,Cheongpung,Vigor,Fran,Han,Rica,None,Rica,Fran,Rica,Okeanos,Molly,XingZhe,Diana,Ragdoll,Okeanos,None,XingZhe,Ragdoll,2021-01-08 22:04:54,Taniss,呆橘不发呆
11,False,Okeanos,Cheongpung,Vigor,Han,Rica,None,Rica,Okeanos,Rica,Seara,Molly,Verdehile,TianLang,Artamiel,Seara,None,Seara,Artamiel,2021-01-08 22:00:14,Taniss,Zera
12,False,Okeanos,Cheongpung,Wolyung,Ethna,ShiHou,None,ShiHou,Wolyung,ShiHou,Seara,Vigor,Juno,MeiHouWang,Rica,Seara,None,Seara,Rica,2021-01-08 21:55:22,Taniss,Tranquility!
13,False,Okeanos,Cheongpung,Han,Pater,Wolyung,Okeanos,None,Han,Wolyung,Ganymede,Vanessa,Hathor,Ethna,Chiwu,None,Ethna,Vanessa,Chiwu,2021-01-08 21:43:30,Taniss,SaPyn
14,False,Okeanos,Cheongpung,Fran,Barbara,Han,Okeanos,None,Fran,Han,Molly,Juno,Velajuel,Leo,Ragdoll,None,Leo,Velajuel,Ragdoll,2021-01-08 21:38:24,Taniss,Xere=))
15,False,Okeanos,Cheongpung,Daphnis,Juno,Wolyung,None,Juno,Okeanos,Wolyung,Seara,Fran,Masha,Ethna,Tablo,Seara,None,Seara,Tablo,2021-01-10 02:10:51,Taniss,hopsteph
16,True,Okeanos,Cheongpung,Wolyung,Han,Pater,None,Pater,Wolyung,Pater,Seara,Vigor,Rica,Ganymede,Velajuel,Seara,None,Seara,Velajuel,2021-01-10 02:06:10,Taniss,出门便是江湖
17,False,Okeanos,Cheongpung,Han,Pater,Wolyung,Okeanos,None,Okeanos,Wolyung,Seara,Molly,Verdehile,Leo,Giana,None,Leo,Leo,Giana,2021-01-10 02:02:32,Taniss,서빈마마
18,True,Cheongpung,Wolyung,Han,Vigor,Okeanos,None,Vigor,Wolyung,Okeanos,Juno,Yeonhong,Moore/WaterRYU1,Verdehile,Seara,Seara,None,Moore/WaterRYU1,Seara,2021-01-10 01:58:38,Taniss,おがさわら
19,True,Okeanos,Wolyung,Daphnis,Vigor,Cheongpung,Okeanos,None,Wolyung,Cheongpung,Velajuel,Barbara,Verdehile,Illiana,Elucia,None,Elucia,Velajuel,Elucia,2021-01-10 01:55:07,Taniss,Bouyaah
20,False,Okeanos,Wolyung,Ganymede,Pater,Han,Okeanos,None,Wolyung,Han,Cheongpung,Barbara,Vanessa,Shan,Gemini,None,Gemini,Vanessa,Gemini,2021-01-10 01:52:24,Taniss,DDSquirtle
21,True,Cheongpung,Vigor,Han,Pater,Wolyung,Cheongpung,None,Han,Wolyung,Okeanos,Ganymede,Barbara,Vanessa,Chiwu,None,Vanessa,Vanessa,Chiwu,2021-01-10 01:48:22,Taniss,#미업
22,False,Cheongpung,Wolyung,Verdehile,Daphnis,Okeanos,None,Daphnis,Wolyung,Okeanos,MoLong,Jeanne,Antares,Diana,Akroma,MoLong,None,Jeanne,Akroma,2021-01-10 01:45:41,Taniss,TM궁극체
23,True,Okeanos,Cheongpung,Wolyung,Daphnis,Rica,None,Rica,Wolyung,Rica,Molly,Ragdoll,XingZhe,FengYan,Velajuel,Molly,None,XingZhe,Velajuel,2021-01-10 01:40:58,Taniss,魔灵王归来
24,False,Okeanos,Cheongpung,Wolyung,Han,Pater,Okeanos,None,Wolyung,Pater,Molly,Velajuel,XingZhe,FengYan,Ragdoll,None,FengYan,XingZhe,Ragdoll,2021-01-10 01:37:08,Taniss,魔灵王归来
25,True,Okeanos,Cheongpung,Han,Pater,Wolyung,Okeanos,None,Han,Wolyung,Ganymede,Elenoa,ShiHou,Nephthys,Chiwu,None,Nephthys,Nephthys,Chiwu,2021-01-10 01:08:41,Taniss,|♤|mRoyal
26,True,Okeanos,Wolyung,Han,Pater,Cheongpung,Okeanos,None,Wolyung,Cheongpung,Seara,Barbara,Hathor,Vanessa,Chiwu,None,Vanessa,Vanessa,Chiwu,2021-01-10 01:04:42,Taniss,☆étoile☆
27,True,Okeanos,Cheongpung,Wolyung,Vigor,Barbara,None,Barbara,Wolyung,Barbara,Molly,Juno,Moore/WaterRYU1,MoLong,Verdehile,Molly,None,Moore/WaterRYU1,Verdehile,2021-01-10 01:00:04,Taniss,๖²⁴ʱUF❍༉
28,False,Okeanos,Cheongpung,Wolyung,Daphnis,Leo,Okeanos,None,Wolyung,Leo,Seara,Barbara,Savannah,Jamire,Chiwu,None,Jamire,Seara,Chiwu,2021-01-10 00:54:19,Taniss,-RememberYS-
29,True,Okeanos,Cheongpung,Vigor,Barbara,Rica,None,Rica,Okeanos,Rica,Seara,Wolyung,Yeonhong,Lagmaron,Daphnis,Seara,None,Wolyung,Daphnis,2021-01-10 00:50:53,Taniss,Akavali
