monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Okeanos,28,93.3,17,60.7,6,21.4,3,10.7,16,57.1,0,0.0,9,56.2,0,0.0,<--,Okeanos,2,6.7,1,50.0,0,0.0,0,0.0,1,50.0,0,0.0,1,100.0,0,0.0
Wolyung,25,83.3,16,64.0,18,72.0,6,24.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Wolyung,2,6.7,2,100.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Han,15,50.0,8,53.3,3,20.0,2,13.3,0,0.0,0,0.0,0,0.0,0,0.0,<--,Han,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Pater,9,30.0,5,55.6,0,0.0,2,22.2,0,0.0,1,11.1,0,0.0,1,100.0,<--,Pater,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Cheongpung,28,93.3,18,64.3,0,0.0,5,17.9,1,3.6,0,0.0,1,100.0,0,0.0,<--,Cheongpung,2,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Seara,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Seara,14,46.7,9,64.3,8,57.1,1,7.1,8,57.1,0,0.0,3,37.5,0,0.0
Fran,2,6.7,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Fran,5,16.7,4,80.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Vanessa,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vanessa,5,16.7,3,60.0,5,100.0,0,0.0,0,0.0,2,40.0,0,0.0,0,0.0
Miho,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Miho,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0
Barbara,5,16.7,4,80.0,0,0.0,1,20.0,0,0.0,1,20.0,0,0.0,1,100.0,<--,Barbara,8,26.7,6,75.0,0,0.0,2,25.0,0,0.0,0,0.0,0,0.0,0,0.0
Ethna,4,13.3,3,75.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ethna,2,6.7,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,1,100.0
Daphnis,10,33.3,7,70.0,0,0.0,2,20.0,0,0.0,4,40.0,0,0.0,3,75.0,<--,Daphnis,1,3.3,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Juno,2,6.7,0,0.0,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,<--,Juno,6,20.0,4,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Hathor,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Hathor,3,10.0,2,66.7,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Vigor,11,36.7,8,72.7,0,0.0,1,9.1,0,0.0,1,9.1,0,0.0,1,100.0,<--,Vigor,2,6.7,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
