monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Fran,13,72.2,13,100.0,3,23.1,1,7.7,1,7.7,0,0.0,1,100.0,0,0.0,<--,Fran,4,22.2,4,100.0,2,50.0,0,0.0,2,50.0,0,0.0,0,0.0,0,0.0
Loren,9,50.0,9,100.0,0,0.0,1,11.1,0,0.0,0,0.0,0,0.0,0,0.0,<--,Loren,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Daphnis,15,83.3,15,100.0,2,13.3,2,13.3,0,0.0,1,6.7,0,0.0,1,100.0,<--,Daphnis,2,11.1,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Barbara,12,66.7,12,100.0,0,0.0,3,25.0,0,0.0,2,16.7,0,0.0,2,100.0,<--,Barbara,1,5.6,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Seara,14,77.8,14,100.0,11,78.6,3,21.4,6,42.9,0,0.0,6,100.0,0,0.0,<--,Seara,4,22.2,4,100.0,2,50.0,2,50.0,3,75.0,0,0.0,0,0.0,0,0.0
Ragdoll,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ragdoll,1,5.6,1,100.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Nephthys,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Nephthys,1,5.6,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Moore/WaterRYU,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Moore/WaterRYU,3,16.7,3,100.0,0,0.0,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0
Okeanos,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Okeanos,13,72.2,13,100.0,1,7.7,0,0.0,3,23.1,0,0.0,0,0.0,0,0.0
Giana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Giana,1,5.6,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Savannah,5,27.8,5,100.0,0,0.0,3,60.0,0,0.0,3,60.0,0,0.0,3,100.0,<--,Savannah,2,11.1,2,100.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Ethna,1,5.6,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,1,100.0,<--,Ethna,5,27.8,5,100.0,1,20.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0
Vanessa,3,16.7,3,100.0,2,66.7,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vanessa,2,11.1,2,100.0,1,50.0,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0
Bastet,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Bastet,1,5.6,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
