monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Okeanos,13,81.2,7,53.8,2,15.4,1,7.7,9,69.2,0,0.0,5,55.6,0,0.0,<--,Okeanos,2,12.5,1,50.0,2,100.0,0,0.0,2,100.0,0,0.0,1,50.0,0,0.0
Ganymede,8,50.0,4,50.0,3,37.5,2,25.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ganymede,1,6.2,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Vanessa,4,25.0,3,75.0,4,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vanessa,1,6.2,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Barbara,5,31.2,4,80.0,0,0.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Barbara,3,18.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Verdehile,6,37.5,3,50.0,0,0.0,3,50.0,0,0.0,1,16.7,0,0.0,1,100.0,<--,Verdehile,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Chiwu,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Chiwu,3,18.8,2,66.7,1,33.3,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0
Giana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Giana,3,18.8,1,33.3,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Diana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Diana,3,18.8,3,100.0,0,0.0,0,0.0,0,0.0,2,66.7,0,0.0,0,0.0
Jamire,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Jamire,1,6.2,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Seara,10,62.5,6,60.0,6,60.0,1,10.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Seara,5,31.2,2,40.0,3,60.0,1,20.0,2,40.0,0,0.0,1,50.0,0,0.0
Hathor,2,12.5,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Hathor,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Yeonhong,5,31.2,4,80.0,0,0.0,1,20.0,0,0.0,1,20.0,0,0.0,1,100.0,<--,Yeonhong,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Lulu,1,6.2,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Lulu,2,12.5,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,1,100.0
Vigor,2,12.5,1,50.0,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0,1,100.0,<--,Vigor,1,6.2,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ragdoll,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ragdoll,5,31.2,3,60.0,0,0.0,3,60.0,1,20.0,0,0.0,0,0.0,0,0.0
Juno,4,25.0,2,50.0,1,25.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Juno,4,25.0,3,75.0,0,0.0,0,0.0,0,0.0,1,25.0,0,0.0,1,100.0
Nephthys,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Nephthys,5,31.2,3,60.0,1,20.0,4,80.0,0,0.0,1,20.0,0,0.0,1,100.0
