monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Chiwu,4,13.3,4,100.0,1,25.0,3,75.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Chiwu,7,23.3,7,100.0,3,42.9,1,14.3,1,14.3,0,0.0,0,0.0,0,0.0
Cheongpung,17,56.7,13,76.5,1,5.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Cheongpung,3,10.0,3,100.0,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Seara,12,40.0,6,50.0,8,66.7,2,16.7,1,8.3,0,0.0,0,0.0,0,0.0,<--,Seara,11,36.7,9,81.8,7,63.6,2,18.2,5,45.5,0,0.0,1,20.0,0,0.0
Chris,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,1,100.0,<--,Chris,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Vigor,12,40.0,7,58.3,0,0.0,1,8.3,0,0.0,2,16.7,0,0.0,1,50.0,<--,Vigor,2,6.7,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Okeanos,21,70.0,15,71.4,2,9.5,1,4.8,11,52.4,0,0.0,9,81.8,0,0.0,<--,Okeanos,7,23.3,5,71.4,2,28.6,2,28.6,5,71.4,0,0.0,1,20.0,0,0.0
Juno,2,6.7,2,100.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,1,100.0,<--,Juno,4,13.3,3,75.0,1,25.0,1,25.0,0,0.0,1,25.0,0,0.0,0,0.0
Diana,4,13.3,3,75.0,0,0.0,1,25.0,0,0.0,2,50.0,0,0.0,1,50.0,<--,Diana,5,16.7,4,80.0,0,0.0,0,0.0,0,0.0,1,20.0,0,0.0,0,0.0
Savannah,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Savannah,6,20.0,5,83.3,0,0.0,0,0.0,0,0.0,2,33.3,0,0.0,0,0.0
Molly,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Molly,6,20.0,5,83.3,0,0.0,3,50.0,3,50.0,0,0.0,1,33.3,0,0.0
Yeonhong,11,36.7,8,72.7,4,36.4,2,18.2,0,0.0,3,27.3,0,0.0,2,66.7,<--,Yeonhong,1,3.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Moore/WaterRYU1,11,36.7,8,72.7,3,27.3,2,18.2,0,0.0,2,18.2,0,0.0,1,50.0,<--,Moore/WaterRYU1,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ganymede,13,43.3,8,61.5,1,7.7,3,23.1,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ganymede,3,10.0,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Vanessa,9,30.0,7,77.8,5,55.6,4,44.4,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vanessa,3,10.0,2,66.7,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ethna,2,6.7,1,50.0,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0,1,100.0,<--,Ethna,2,6.7,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Hathor,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Hathor,3,10.0,3,100.0,1,33.3,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0
Anavel,1,3.3,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Anavel,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Giana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Giana,5,16.7,2,40.0,0,0.0,0,0.0,1,20.0,0,0.0,1,100.0,0,0.0
Rica,2,6.7,2,100.0,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0,1,100.0,<--,Rica,3,10.0,1,33.3,0,0.0,3,100.0,0,0.0,3,100.0,0,0.0,2,66.7
