monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Okeanos,12,80.0,9,75.0,0,0.0,2,16.7,7,58.3,0,0.0,6,85.7,0,0.0,<--,Okeanos,3,20.0,2,66.7,2,66.7,1,33.3,2,66.7,0,0.0,1,50.0,0,0.0
Ganymede,9,60.0,6,66.7,2,22.2,1,11.1,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ganymede,1,6.7,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Fran,7,46.7,4,57.1,1,14.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Fran,2,13.3,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Seara,12,80.0,10,83.3,7,58.3,2,16.7,3,25.0,0,0.0,3,100.0,0,0.0,<--,Seara,2,13.3,1,50.0,1,50.0,1,50.0,2,100.0,0,0.0,1,50.0,0,0.0
Sian,1,6.7,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Sian,1,6.7,1,100.0,0,0.0,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0
Ragdoll,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ragdoll,1,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Molly,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Molly,3,20.0,1,33.3,0,0.0,0,0.0,1,33.3,0,0.0,1,100.0,0,0.0
Juno,3,20.0,3,100.0,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,<--,Juno,2,13.3,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Verdehile,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Verdehile,3,20.0,2,66.7,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Velajuel,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Velajuel,3,20.0,2,66.7,0,0.0,1,33.3,0,0.0,2,66.7,0,0.0,1,50.0
Savannah,3,20.0,3,100.0,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,<--,Savannah,2,13.3,2,100.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Rica,5,33.3,4,80.0,0,0.0,2,40.0,0,0.0,2,40.0,0,0.0,1,50.0,<--,Rica,1,6.7,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Hathor,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Hathor,1,6.7,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Josephine,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Josephine,1,6.7,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Vanessa,3,20.0,3,100.0,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vanessa,1,6.7,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
MoLong,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,MoLong,2,13.3,2,100.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Harmonia,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Harmonia,1,6.7,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Artamiel,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Artamiel,1,6.7,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Leo,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Leo,2,13.3,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Amelia,1,6.7,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Amelia,1,6.7,1,100.0,0,0.0,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0
Shan,3,20.0,2,66.7,1,33.3,0,0.0,0,0.0,1,33.3,0,0.0,0,0.0,<--,Shan,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ethna,3,20.0,1,33.3,1,33.3,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ethna,2,13.3,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Moore/WaterRYU1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Moore/WaterRYU1,3,20.0,3,100.0,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Masha,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Masha,2,13.3,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
XingZhe,2,13.3,2,100.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,XingZhe,1,6.7,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Cheongpung,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Cheongpung,5,33.3,3,60.0,0,0.0,2,40.0,0,0.0,0,0.0,0,0.0,0,0.0
Bernadotte/KEN,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Bernadotte/KEN,1,6.7,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Barbara,4,26.7,4,100.0,0,0.0,1,25.0,0,0.0,1,25.0,0,0.0,1,100.0,<--,Barbara,2,13.3,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0
Nephthys,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Nephthys,1,6.7,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Chiwu,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Chiwu,3,20.0,2,66.7,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Vigor,2,13.3,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vigor,2,13.3,2,100.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0
Bolverk,2,13.3,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,<--,Bolverk,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Wedjat,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Wedjat,1,6.7,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
FengYan,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,FengYan,1,6.7,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Douglas/FireRYU1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Douglas/FireRYU1,1,6.7,1,100.0,0,0.0,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0
Triton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Triton,1,6.7,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Poseidon,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Poseidon,1,6.7,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0
Eshir,3,20.0,2,66.7,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,<--,Eshir,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
