battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
0,False,Bastet,Bernadotte/KEN,Tablo,Gemini,Shimitae,Bastet,None,Tablo,Shimitae,Velajuel,FengYan,Vanessa,Leo,Wedjat,None,Leo,Leo,Wedjat,2021-01-10 08:57:38,XカブレラX,삞힗찶
1,True,Bernadotte/KEN,Shimitae,Lagmaron,Gemini,Vanessa,None,Gemini,Shimitae,Vanessa,Bastet,Lushen,Chiwu,Bellenus,Moore/WaterRYU,Bastet,None,Chiwu,Moore/WaterRYU,2021-01-10 08:54:02,XカブレラX,きらぱみん✩*
2,True,Bernadotte/KEN,Tablo,Shimitae,Rakan,Bastet,None,Rakan,Shimitae,Bastet,Seara,Fran,Leo,Vanessa,Okeanos,Okeanos,None,Leo,Okeanos,2021-01-10 08:51:24,XカブレラX,Yvanit~
3,False,Shimitae,Okeanos,Triton,Tablo,Seara,None,Seara,Shimitae,Seara,Bastet,Ethna,Barbara,Miho,Leo,Bastet,None,Bastet,Leo,2021-01-10 08:44:00,XカブレラX,CompoteDePomme
4,True,Bastet,Bernadotte/KEN,Savannah,QitianDasheng,Vanessa,Bastet,None,QitianDasheng,Vanessa,Okeanos,Shimitae,Barbara,Ethna,Tablo,None,Ethna,Shimitae,Tablo,2021-01-10 08:41:04,XカブレラX,CompoteDePomme
5,False,Bastet,Bernadotte/KEN,Shimitae,Triton,Tablo,Bastet,None,Shimitae,Tablo,Okeanos,Savannah,Vanessa,Verdehile,Moore/WaterRYU,None,Verdehile,Vanessa,Moore/WaterRYU,2021-01-10 08:37:00,XカブレラX,俏皮可爱小尾巴
6,False,Bastet,Okeanos,Shimitae,Seara,Gemini,Bastet,None,Shimitae,Gemini,Giana,Miho,Raki,Juno,Ragdoll,None,Juno,Raki,Ragdoll,2021-01-10 08:32:59,XカブレラX,ばみゅーだ
7,True,Daphnis,Seara,Kahli,Covenant,Bastet,Bastet,None,Daphnis,Bastet,Fran,Ragdoll,Bellenus,Nephthys,Juno,None,Nephthys,Nephthys,Juno,2021-01-10 08:28:33,XカブレラX,占的人间第一啾
8,False,Bastet,Bernadotte/KEN,Shimitae,Triton,Vanessa,Bastet,None,Shimitae,Vanessa,Okeanos,Cheongpung,Tablo,Leo,Psamathe,None,Leo,Tablo,Psamathe,2021-01-10 08:24:51,XカブレラX,R4ider~
9,True,Bastet,Bernadotte/KEN,Velajuel,Leo,Psamathe,None,Psamathe,Bastet,Psamathe,Okeanos,Savannah,Tablo,Asima,Giana,Okeanos,None,Tablo,Giana,2021-01-10 08:21:07,XカブレラX,Nikøw
