monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
MoLong,26,100.0,15,57.7,17,65.4,5,19.2,12,46.2,0,0.0,6,50.0,0,0.0,<--,MoLong,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Verdehile,16,61.5,10,62.5,0,0.0,3,18.8,0,0.0,1,6.2,0,0.0,1,100.0,<--,Verdehile,3,11.5,1,33.3,0,0.0,0,0.0,0,0.0,1,33.3,0,0.0,1,100.0
Seara,9,34.6,7,77.8,6,66.7,1,11.1,0,0.0,0,0.0,0,0.0,0,0.0,<--,Seara,11,42.3,6,54.5,9,81.8,1,9.1,6,54.5,1,9.1,2,33.3,1,100.0
Barbara,7,26.9,6,85.7,0,0.0,2,28.6,0,0.0,1,14.3,0,0.0,1,100.0,<--,Barbara,4,15.4,3,75.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0
Diana,8,30.8,6,75.0,0,0.0,1,12.5,0,0.0,0,0.0,0,0.0,0,0.0,<--,Diana,3,11.5,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Loren,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Loren,2,7.7,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Triana,10,38.5,5,50.0,0,0.0,2,20.0,0,0.0,1,10.0,0,0.0,0,0.0,<--,Triana,5,19.2,4,80.0,0,0.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0
Vigor,1,3.8,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vigor,7,26.9,5,71.4,0,0.0,1,14.3,0,0.0,0,0.0,0,0.0,0,0.0
Fran,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Fran,7,26.9,4,57.1,1,14.3,1,14.3,1,14.3,0,0.0,0,0.0,0,0.0
Hathor,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Hathor,3,11.5,1,33.3,0,0.0,2,66.7,0,0.0,1,33.3,0,0.0,0,0.0
Amelia,6,23.1,2,33.3,0,0.0,1,16.7,0,0.0,3,50.0,0,0.0,1,33.3,<--,Amelia,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Veromos,1,3.8,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Veromos,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Leo,6,23.1,3,50.0,0,0.0,3,50.0,0,0.0,1,16.7,0,0.0,1,100.0,<--,Leo,1,3.8,1,100.0,0,0.0,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0
Ragdoll,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ragdoll,5,19.2,2,40.0,1,20.0,0,0.0,1,20.0,0,0.0,0,0.0,0,0.0
Rica,3,11.5,3,100.0,0,0.0,1,33.3,0,0.0,2,66.7,0,0.0,2,100.0,<--,Rica,3,11.5,2,66.7,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Platy,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Platy,1,3.8,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0
Cheongpung,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Cheongpung,4,15.4,2,50.0,0,0.0,1,25.0,0,0.0,1,25.0,0,0.0,0,0.0
Taranys,4,15.4,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Taranys,5,19.2,3,60.0,0,0.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0
Daphnis,4,15.4,3,75.0,0,0.0,2,50.0,0,0.0,1,25.0,0,0.0,0,0.0,<--,Daphnis,1,3.8,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Ganymede,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ganymede,4,15.4,3,75.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
XingZhe,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,XingZhe,3,11.5,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Okeanos,9,34.6,6,66.7,2,22.2,1,11.1,0,0.0,0,0.0,0,0.0,0,0.0,<--,Okeanos,7,26.9,1,14.3,1,14.3,4,57.1,1,14.3,2,28.6,1,100.0,1,50.0
Icares,5,19.2,2,40.0,0,0.0,1,20.0,0,0.0,1,20.0,0,0.0,1,100.0,<--,Icares,1,3.8,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
