battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
0,False,Seara,Velajuel,Praha,Juno,Ganymede,None,Juno,Seara,Ganymede,Okeanos,Ragdoll,Fran,Akroma,Molly,Okeanos,None,Akroma,Molly,2021-01-09 02:37:20,dragalion,ᴹᴱl•s2y’
1,False,Seara,Velajuel,Juno,MeiHouWang,Amduat,Seara,None,Seara,Amduat,Okeanos,Ganymede,Chiwu,Barbara,Poseidon,None,Poseidon,Chiwu,Poseidon,2021-01-09 02:27:24,dragalion,TM.avi
2,True,Seara,Velajuel,Bastet,Chow,Praha,Seara,None,Seara,Praha,Okeanos,Fran,ShiHou,Daphnis,Ethna,None,Ethna,Fran,Ethna,2021-01-09 02:20:54,dragalion,ImEdwin
3,False,Ganymede,Velajuel,Ethna,Thrain,Okeanos,None,Thrain,Ganymede,Okeanos,Seara,Savannah,Ragdoll,Praha,Fran,Seara,None,Praha,Fran,2021-01-09 02:13:46,dragalion,[MY]RedMinion
4,True,Okeanos,Velajuel,Ethna,Praha,Seara,None,Praha,Okeanos,Seara,Ganymede,Fran,Barbara,Juno,TianLang,Ganymede,None,Ganymede,TianLang,2021-01-09 02:08:33,dragalion,@star
5,True,Seara,Okeanos,Velajuel,Praha,Ethna,Seara,None,Seara,Ethna,Fran,Vanessa,Jager,Vigor,Herteit,None,Vigor,Vanessa,Herteit,2021-01-08 22:18:46,dragalion,NGCHI®
6,True,Seara,Vigor,MoLong,Praha,Velajuel,Seara,None,Seara,Velajuel,Molly,Okeanos,Fran,Mina,XingZhe,None,Mina,Fran,XingZhe,2021-01-08 22:13:35,dragalion,吾名飛
7,True,Okeanos,Verdehile,MeiHouWang,Masha,Seara,Seara,None,Okeanos,Seara,Chiwu,Savannah,Juno,Anavel,Vigor,None,Anavel,Chiwu,Vigor,2021-01-08 22:08:22,dragalion,アルターキース
8,True,Seara,Velajuel,Ethna,Taranys,Okeanos,Seara,None,Seara,Okeanos,Fran,Savannah,Vigor,Daphnis,Chiwu,None,Chiwu,Daphnis,Chiwu,2021-01-08 22:04:42,dragalion,アルターキース
9,True,Seara,Okeanos,Fran,Ethna,Praha,None,Praha,Seara,Praha,Molly,Woosa,Rakan,Antares,XingZhe,Molly,None,Rakan,XingZhe,2021-01-08 21:56:58,dragalion,只野オマリー
10,False,Seara,Juno,Velajuel,MeiHouWang,Elucia,Seara,None,Velajuel,Elucia,Ganymede,Chiwu,Barbara,Moore/WaterRYU1,Okeanos,None,Moore/WaterRYU1,Chiwu,Okeanos,2021-01-08 21:52:51,dragalion,°쥬리
