battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
0,True,Molly,Herteit,Amelia,FengYan,Taranys,None,Taranys,Molly,Taranys,Fran,Icares,Daphnis,Giana,MoLong,Fran,None,Fran,MoLong,2021-01-09 12:43:47,kamechan♪,①个人de世界
1,False,Herteit,Molly,FengYan,Velajuel,Amelia,None,Velajuel,Velajuel,Amelia,Giana,Thrain,Asima,Seara,Tiana,Giana,None,Asima,Tiana,2021-01-09 12:39:29,kamechan♪,MaVeRICK센빠이
2,False,Herteit,Molly,MeiHouWang,Juno,Amelia,Herteit,None,MeiHouWang,Amelia,Okeanos,Ganymede,Hathor,Tesarion,Loren,None,Tesarion,Ganymede,Loren,2021-01-09 12:36:37,kamechan♪,-7翼のWinGs-
3,True,Molly,FengYan,Amelia,Velajuel,Herteit,Molly,None,Velajuel,Herteit,Artamiel,Leo,Taranys,Rica,Bolverk,None,Bolverk,Leo,Bolverk,2021-01-09 12:33:20,kamechan♪,☆ᴱᴳ•Aly☆
4,True,Molly,Herteit,Amelia,Velajuel,FengYan,None,Velajuel,Velajuel,FengYan,Fran,Vigor,Savannah,Tesarion,Cheongpung,Fran,None,Fran,Cheongpung,2021-01-09 04:29:57,kamechan♪,Bodin.sama
5,True,Herteit,Molly,Vigor,MeiHouWang,Amelia,Herteit,None,MeiHouWang,Amelia,Chiwu,Okeanos,Fran,Ganymede,Sian,None,Sian,Chiwu,Sian,2021-01-09 04:25:55,kamechan♪,<blackaltair>
6,True,Molly,Vigor,MeiHouWang,Amelia,Herteit,None,Amelia,MeiHouWang,Herteit,Chiwu,Okeanos,Charlotte,Gemini,Poseidon,Chiwu,None,Chiwu,Poseidon,2021-01-09 04:21:20,kamechan♪,Hunt'
7,True,Herteit,Molly,Woosa,Velajuel,Vigor,Herteit,None,Velajuel,Vigor,Moore/WaterRYU1,Chiwu,Bael,Prom,Rica,None,Prom,Chiwu,Rica,2021-01-09 04:18:21,kamechan♪,Serevro
8,False,Vigor,Herteit,Amelia,MeiHouWang,Molly,None,MeiHouWang,MeiHouWang,Molly,Okeanos,Bastet,Cheongpung,Gemini,Lushen,Okeanos,None,Okeanos,Lushen,2021-01-09 04:13:57,kamechan♪,Lactiom#
9,False,Herteit,Zerath,Amelia,FengYan,Woosa,Herteit,None,Zerath,Woosa,Alexandra,Diana,Helena,Leo,Seara,None,Leo,Leo,Seara,2021-01-09 04:10:53,kamechan♪,jerryチュウタ
