monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Molly,22,78.6,16,72.7,2,9.1,3,13.6,2,9.1,0,0.0,1,50.0,0,0.0,<--,Molly,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Herteit,23,82.1,15,65.2,0,0.0,4,17.4,6,26.1,0,0.0,4,66.7,0,0.0,<--,Herteit,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Amelia,16,57.1,11,68.8,0,0.0,7,43.8,0,0.0,3,18.8,0,0.0,3,100.0,<--,Amelia,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
FengYan,8,28.6,6,75.0,0,0.0,1,12.5,0,0.0,0,0.0,0,0.0,0,0.0,<--,FengYan,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Taranys,2,7.1,2,100.0,1,50.0,1,50.0,0,0.0,1,50.0,0,0.0,1,100.0,<--,Taranys,1,3.6,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Fran,4,14.3,2,50.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Fran,9,32.1,8,88.9,3,33.3,0,0.0,2,22.2,0,0.0,0,0.0,0,0.0
Icares,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Icares,1,3.6,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Daphnis,4,14.3,4,100.0,1,25.0,2,50.0,0,0.0,2,50.0,0,0.0,2,100.0,<--,Daphnis,5,17.9,3,60.0,1,20.0,3,60.0,0,0.0,0,0.0,0,0.0,0,0.0
Giana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Giana,3,10.7,2,66.7,0,0.0,1,33.3,1,33.3,0,0.0,1,100.0,0,0.0
MoLong,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,MoLong,1,3.6,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Velajuel,7,25.0,5,71.4,7,100.0,0,0.0,0,0.0,5,71.4,0,0.0,3,60.0,<--,Velajuel,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Thrain,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Thrain,1,3.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Asima,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Asima,2,7.1,1,50.0,1,50.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0
Seara,6,21.4,3,50.0,4,66.7,2,33.3,3,50.0,0,0.0,2,66.7,0,0.0,<--,Seara,11,39.3,7,63.6,7,63.6,2,18.2,4,36.4,0,0.0,0,0.0,0,0.0
Tiana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Tiana,1,3.6,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
MeiHouWang,8,28.6,3,37.5,6,75.0,0,0.0,0,0.0,1,12.5,0,0.0,0,0.0,<--,MeiHouWang,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Juno,3,10.7,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Juno,1,3.6,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Okeanos,1,3.6,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Okeanos,13,46.4,8,61.5,2,15.4,0,0.0,5,38.5,0,0.0,2,40.0,0,0.0
Ganymede,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ganymede,5,17.9,2,40.0,2,40.0,0,0.0,0,0.0,2,40.0,0,0.0,1,50.0
Hathor,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Hathor,2,7.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Tesarion,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Tesarion,2,7.1,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,1,100.0
Loren,2,7.1,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Loren,4,14.3,1,25.0,0,0.0,1,25.0,0,0.0,1,25.0,0,0.0,1,100.0
Artamiel,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Artamiel,1,3.6,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Leo,1,3.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Leo,2,7.1,1,50.0,2,100.0,0,0.0,0,0.0,1,50.0,0,0.0,1,100.0
Rica,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Rica,2,7.1,2,100.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Bolverk,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Bolverk,2,7.1,2,100.0,0,0.0,2,100.0,0,0.0,1,50.0,0,0.0,0,0.0
Vigor,10,35.7,7,70.0,0,0.0,1,10.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vigor,3,10.7,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Savannah,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Savannah,7,25.0,4,57.1,0,0.0,1,14.3,0,0.0,0,0.0,0,0.0,0,0.0
