battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
0,True,Ragdoll,Sekhmet,Leona,Lulu,Triana,None,Lulu,Ragdoll,Triana,Seara,Okeanos,Ganymede,Daphnis,Fran,Seara,None,Seara,Fran,2021-01-09 22:06:13, 레오나 ,♡毒菇求拜♡
1,True,Ragdoll,Triana,Sekhmet,Leona,Lulu,None,Lulu,Ragdoll,Lulu,Okeanos,Vigor,Nephthys,Seara,Velajuel,Okeanos,None,Nephthys,Velajuel,2021-01-09 22:02:07, 레오나 ,Turtle™
2,False,Ragdoll,Triana,Sekhmet,Leona,Taranys,Ragdoll,None,Ragdoll,Taranys,TianLang,Akroma,Bolverk,Tesarion,Molly,None,Tesarion,Akroma,Molly,2021-01-09 21:57:01, 레오나 ,TM하울링
3,True,Ragdoll,Triana,Sekhmet,Leona,Rica,None,Rica,Ragdoll,Rica,Okeanos,Seara,Loren,Vigor,Lulu,Okeanos,None,Seara,Lulu,2021-01-09 21:42:32, 레오나 ,Gandh¡
4,True,Ragdoll,Sekhmet,Leona,Taranys,Triana,None,Taranys,Ragdoll,Triana,Seara,Yeonhong,Fran,Bolverk,MoLong,Seara,None,Yeonhong,MoLong,2021-01-09 21:37:36, 레오나 ,GianaPlease~
5,True,Ragdoll,Triana,Sekhmet,Rica,Leona,None,Rica,Sekhmet,Leona,Seara,Artamiel,Loren,TianLang,Lulu,Seara,None,Seara,Lulu,2021-01-09 21:34:34, 레오나 ,Solal-W
6,False,Ragdoll,Vigor,Leona,Sekhmet,Triana,None,Sekhmet,Ragdoll,Triana,Molly,Jager,XingZhe,Tesarion,Fran,Fran,None,Tesarion,Fran,2021-01-09 21:31:47, 레오나 ,暴走的阿瑞
7,True,Ganymede,Ragdoll,Triana,Lulu,Leona,Ganymede,None,Ganymede,Leona,Okeanos,Fran,Seara,Vigor,Oberon,None,Vigor,Seara,Oberon,2021-01-09 21:26:48, 레오나 ,SaPyn
8,False,Ragdoll,Triana,Sekhmet,Leona,Lulu,None,Lulu,Ragdoll,Lulu,Okeanos,Ganymede,Sian,Fran,Oberon,Okeanos,None,Ganymede,Oberon,2021-01-09 21:19:42, 레오나 ,SaPyn
9,True,Ragdoll,Triana,Sekhmet,Leona,Lulu,Ragdoll,None,Ragdoll,Lulu,Seara,Vigor,Juno,Rica,Fran,None,Rica,Seara,Fran,2021-01-09 21:13:58, 레오나 ,Naetilt
10,True,Ragdoll,Triana,Leona,Sekhmet,Lulu,None,Lulu,Ragdoll,Lulu,Seara,Vigor,Juno,Rica,Elucia,Seara,None,Seara,Elucia,2021-01-09 21:08:44, 레오나 ,Naetilt
11,False,Ragdoll,Triana,Leona,Izaria,Sekhmet,None,Izaria,Ragdoll,Sekhmet,Molly,Vigor,Laika,Tesarion,Fran,Molly,None,Tesarion,Fran,2021-01-09 21:05:15, 레오나 ,✎﹏Lofi
12,False,Triana,Leona,Sekhmet,Rica,Ragdoll,None,Rica,Sekhmet,Ragdoll,Okeanos,Vigor,Odin,Daphnis,Fran,Okeanos,None,Okeanos,Fran,2021-01-09 21:02:24, 레오나 ,おんちゃ
13,True,Ragdoll,Triana,Leona,Lulu,Sekhmet,None,Lulu,Ragdoll,Sekhmet,Okeanos,Seara,Fran,Savannah,Giana,Okeanos,None,Seara,Giana,2021-01-09 20:58:45, 레오나 ,OTPit
14,False,Ragdoll,Triana,Sekhmet,Izaria,Leona,Ragdoll,None,Izaria,Leona,Seara,Vigor,Verdehile,Ganymede,Fran,None,Ganymede,Seara,Fran,2021-01-09 20:54:05, 레오나 ,Ma梦dy
15,True,Triana,Leona,Verdehile,Amelia,Ragdoll,None,Amelia,Triana,Ragdoll,Seara,Cheongpung,Valantis,Poseidon,Bastet,Seara,None,Seara,Bastet,2021-01-11 00:43:00, 레오나 ,YUNoShill?
16,True,Ragdoll,Triana,Leona,Izaria,Sekhmet,None,Izaria,Izaria,Sekhmet,Okeanos,Vigor,Daphnis,Odin,Fran,Okeanos,None,Okeanos,Fran,2021-01-11 00:39:40, 레오나 ,UT.10
17,True,Ragdoll,Leona,Sekhmet,Lulu,Triana,None,Lulu,Ragdoll,Triana,Seara,Loren,Shan,Okeanos,Fran,Seara,None,Seara,Fran,2021-01-11 00:34:23, 레오나 ,<ICT>
18,False,Ganymede,Triana,Leona,Lulu,Ragdoll,Ganymede,None,Ganymede,Ragdoll,Moore/WaterRYU1,Seara,Hathor,Masha,Chiwu,None,Masha,Seara,Chiwu,2021-01-11 00:30:47, 레오나 ,DANG9
19,False,Triana,Leona,Sekhmet,Velajuel,Ragdoll,None,Velajuel,Sekhmet,Ragdoll,Seara,Okeanos,Cheongpung,QitianDasheng,Chiwu,Seara,None,Seara,Chiwu,2021-01-11 00:26:28, 레오나 ,TurnKing
20,True,Ragdoll,Triana,Sekhmet,Lulu,Leona,None,Lulu,Sekhmet,Leona,Okeanos,Ganymede,Seara,Tesarion,Fran,Okeanos,None,Seara,Fran,2021-01-11 00:22:08, 레오나 ,dragalion
21,True,Ragdoll,Triana,Leona,Lulu,Sekhmet,Ragdoll,None,Ragdoll,Sekhmet,Seara,Okeanos,Daphnis,Diana,Fran,None,Diana,Okeanos,Fran,2021-01-11 00:18:53, 레오나 ,TKGGG
22,False,Ragdoll,Sekhmet,Triana,Leona,Bolverk,Ragdoll,None,Ragdoll,Bolverk,Molly,XingZhe,Vigor,FengYan,Eleanor,None,FengYan,XingZhe,Eleanor,2021-01-11 00:16:18, 레오나 ,桜@SWG
23,True,Ragdoll,Sekhmet,Triana,Leona,Bolverk,Ragdoll,None,Ragdoll,Bolverk,Velajuel,Wedjat,Taranys,Daphnis,FengYan,None,Daphnis,Wedjat,FengYan,2021-01-11 00:11:16, 레오나 ,이왕오뽜
24,True,Sekhmet,Triana,Leona,Tesarion,Bolverk,None,Bolverk,Tesarion,Bolverk,Ragdoll,Juno,XingZhe,Tetra,Eleanor,Ragdoll,None,Juno,Eleanor,2021-01-11 00:05:20, 레오나 ,胖虎爱吃海鲜
25,False,Triana,XingZhe,Leona,Sekhmet,Ragdoll,Ragdoll,None,Sekhmet,Ragdoll,Molly,Vigor,Tesarion,Okeanos,Fran,None,Okeanos,Okeanos,Fran,2021-01-10 23:59:05, 레오나 ,DARK-STAR
26,False,Ragdoll,Triana,Leona,Izaria,Sekhmet,Ragdoll,None,Ragdoll,Sekhmet,Molly,Vigor,Tesarion,XingZhe,Fran,None,XingZhe,XingZhe,Fran,2021-01-10 23:55:13, 레오나 ,DARK-STAR
27,False,Triana,Sekhmet,Leona,Juno,Ragdoll,Ragdoll,None,Sekhmet,Ragdoll,Cheongpung,Okeanos,Seara,Barbara,Giana,None,Barbara,Seara,Giana,2021-01-10 23:50:37, 레오나 ,삞묦돓
28,True,Ragdoll,Triana,Leona,Taranys,Sekhmet,Ragdoll,None,Ragdoll,Sekhmet,Velajuel,Vivachel,MoLong,Tesarion,Molly,None,Tesarion,Vivachel,Molly,2021-01-10 15:29:14, 레오나 ,GOD☆マルポ
