monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Ragdoll,29,96.7,17,58.6,18,62.1,6,20.7,10,34.5,0,0.0,4,40.0,0,0.0,<--,Ragdoll,1,3.3,1,100.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Sekhmet,26,86.7,15,57.7,6,23.1,6,23.1,0,0.0,1,3.8,0,0.0,0,0.0,<--,Sekhmet,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Leona,30,100.0,18,60.0,0,0.0,4,13.3,0,0.0,0,0.0,0,0.0,0,0.0,<--,Leona,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Lulu,11,36.7,9,81.8,0,0.0,4,36.4,0,0.0,7,63.6,0,0.0,6,85.7,<--,Lulu,2,6.7,2,100.0,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Triana,30,100.0,18,60.0,1,3.3,4,13.3,0,0.0,0,0.0,0,0.0,0,0.0,<--,Triana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Seara,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Seara,17,56.7,13,76.5,14,82.4,0,0.0,7,41.2,0,0.0,1,14.3,0,0.0
Okeanos,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Okeanos,14,46.7,9,64.3,4,28.6,0,0.0,7,50.0,1,7.1,2,28.6,1,100.0
Ganymede,2,6.7,1,50.0,2,100.0,0,0.0,2,100.0,0,0.0,1,50.0,0,0.0,<--,Ganymede,5,16.7,3,60.0,1,20.0,0,0.0,0,0.0,1,20.0,0,0.0,1,100.0
Daphnis,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Daphnis,5,16.7,4,80.0,0,0.0,0,0.0,0,0.0,1,20.0,0,0.0,0,0.0
Fran,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Fran,16,53.3,9,56.2,0,0.0,12,75.0,1,6.2,0,0.0,1,100.0,0,0.0
