battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
0,True,Seara,Okeanos,Barbara,Miho,Laika,Seara,None,Okeanos,Laika,Ragdoll,Fran,Jager,Leo,Molly,None,Molly,Jager,Molly,2021-01-10 01:24:16,☆étoile☆,Skaッᶦᵈᵒᶫ
1,True,Seara,Fran,Dusky,Odin,Herteit,Seara,None,Seara,Herteit,Artamiel,Amelia,XingZhe,Velajuel,Daphnis,None,Velajuel,XingZhe,Daphnis,2021-01-10 01:19:20,☆étoile☆,ぶらすわ
2,True,Fran,Louise,Odin,Okeanos,Herteit,None,Okeanos,Okeanos,Herteit,Molly,XingZhe,Taranys,Sekhmet,Juno,Molly,None,XingZhe,Juno,2021-01-10 01:16:08,☆étoile☆,桜@SWG
3,True,Molly,Jager,XingZhe,Rica,Fran,None,Rica,XingZhe,Fran,Seara,Ganymede,Tesarion,Bastet,Giana,Seara,None,Tesarion,Giana,2021-01-10 00:53:25,☆étoile☆,是小内不是水鬼
4,True,Seara,Okeanos,Barbara,Masha,Daphnis,None,Masha,Seara,Daphnis,XingZhe,Juno,Vigor,Diana,Molly,Molly,None,XingZhe,Molly,2021-01-09 09:06:32,☆étoile☆,ジロケンH♡
5,True,Molly,Fran,Jager,XingZhe,Anavel,None,Anavel,XingZhe,Anavel,Seara,Barbara,Verdehile,Tesarion,Okeanos,Seara,None,Seara,Okeanos,2021-01-09 08:56:05,☆étoile☆,ジロケンH♡
6,True,Seara,Barbara,Daphnis,Masha,Chiwu,Seara,None,Seara,Chiwu,Ganymede,Ethna,Rica,Thrain,Okeanos,None,Thrain,Ganymede,Okeanos,2021-01-09 08:16:21,☆étoile☆,TopaV
7,True,Barbara,Okeanos,Chiwu,Hathor,Seara,Seara,None,Chiwu,Seara,Fran,Molly,Giana,Juno,Han,None,Juno,Fran,Han,2021-01-09 01:44:50,☆étoile☆,Ex|Shizzy
8,True,Seara,Fran,Molly,Jager,Leo,None,Leo,Seara,Leo,Okeanos,Savannah,Han,Ganymede,Giana,Okeanos,None,Ganymede,Giana,2021-01-08 06:44:44,☆étoile☆,Ex|Shizzy
9,True,Seara,Fran,Jager,XingZhe,Molly,Seara,None,XingZhe,Molly,Ragdoll,Leo,Vivachel,FengYan,Daphnis,None,Daphnis,Vivachel,Daphnis,2021-01-11 05:33:18,☆étoile☆,～めけめけ団～
10,True,Seara,Okeanos,Chiwu,Psamathe,Barbara,Seara,None,Psamathe,Barbara,Eshir,Han,Bering,Lucas,Moore/WaterRYU1,None,Moore/WaterRYU1,Han,Moore/WaterRYU1,2021-01-11 04:20:03,☆étoile☆,[愛]그대
11,True,Seara,Chiwu,Masha,Daphnis,Barbara,Seara,None,Chiwu,Barbara,Okeanos,Ganymede,Fran,Ethna,Psamathe,None,Psamathe,Fran,Psamathe,2021-01-11 04:14:35,☆étoile☆,아구몬
12,True,Seara,Chiwu,Barbara,Jager,Ganymede,Seara,None,Chiwu,Ganymede,Okeanos,XingZhe,Vanessa,Rica,Giana,None,Rica,Vanessa,Giana,2021-01-11 04:00:16,☆étoile☆,Seiishizo
13,True,Okeanos,Barbara,Daphnis,Celia,Seara,None,Celia,Celia,Seara,Ganymede,Pater,Praha,Sian,Chiwu,Ganymede,None,Praha,Chiwu,2021-01-10 16:07:58,☆étoile☆,태팔이다
14,True,Seara,Fran,Praha,Anavel,Herteit,Seara,None,Praha,Herteit,Ragdoll,Daphnis,Sekhmet,XingZhe,Molly,None,XingZhe,Sekhmet,Molly,2021-01-10 13:52:10,☆étoile☆,改名求光莱卡ღ
