battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
0,False,Bastet,Lushen,Kahli,Raki,Lucifer,None,Raki,Raki,Lucifer,Seara,Leo,Eshir,Garo,Verdehile,Seara,None,Seara,Verdehile,2021-01-09 04:05:56,✨非洲阿潇✨,NMS♦Nurace
1,False,Bastet,Lushen,Lucifer,MeiHouWang,Leo,Bastet,None,Lucifer,Leo,Okeanos,Vanessa,Magnum,Woonsa,Seara,None,Woonsa,Vanessa,Seara,2021-01-09 04:01:48,✨非洲阿潇✨,Mordil
2,False,Lucifer,Lushen,Leo,Psamathe,Bastet,Bastet,None,Psamathe,Bastet,Seara,Vanessa,Rica,Miho,Okeanos,None,Miho,Vanessa,Okeanos,2021-01-09 03:57:37,✨非洲阿潇✨,Jorrr~
3,False,Bastet,Lucifer,Kahli,Raki,Lushen,Bastet,None,Raki,Lushen,Seara,Diana,Alexandra,Triana,Barbara,None,Barbara,Seara,Barbara,2021-01-09 03:55:15,✨非洲阿潇✨,jerryチュウタ
4,False,Lucifer,Lushen,Raki,Kahli,Bastet,Bastet,None,Raki,Bastet,Seara,Okeanos,Eladriel,Diana,Barbara,None,Barbara,Eladriel,Barbara,2021-01-09 03:52:06,✨非洲阿潇✨,Video~
5,True,Bastet,Lucifer,Leo,Raki,Lushen,None,Raki,Raki,Lushen,Seara,Okeanos,Miho,Triana,Ethna,Seara,None,Seara,Ethna,2021-01-09 03:48:23,✨非洲阿潇✨,[Wish]Clown®
6,False,Bastet,Lucifer,Lushen,Julie,Leo,None,Julie,Lucifer,Leo,Okeanos,Seara,Ganymede,Verdehile,Magnum,Okeanos,None,Seara,Magnum,2021-01-09 03:43:28,✨非洲阿潇✨,Icedcoyote
7,True,Lucifer,Lushen,Kahli,Oberon,Bastet,None,Oberon,Oberon,Bastet,Seara,Leo,Okeanos,Triana,Giana,Seara,None,Okeanos,Giana,2021-01-09 03:40:37,✨非洲阿潇✨,CྂUྂCྂUྂ
8,False,Lucifer,Lushen,Leo,Raki,Bastet,Bastet,None,Raki,Bastet,Okeanos,TianLang,Miho,Bellenus,Vanessa,None,Bellenus,Okeanos,Vanessa,2021-01-09 03:37:20,✨非洲阿潇✨,♧Mr.Bean♤
9,False,Lucifer,Lushen,Raki,Leo,Bastet,Bastet,None,Raki,Bastet,Praha,Miho,Cheongpung,Verdehile,Vanessa,None,Verdehile,Praha,Vanessa,2021-01-09 03:35:26,✨非洲阿潇✨,来自欧洲的浩浩
