battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
0,False,Fran,Hathor,Daphnis,Loren,Giana,None,Loren,Fran,Giana,Ganymede,Nicki,Juno,Tiana,Okeanos,Okeanos,None,Ganymede,Okeanos,2021-01-08 23:55:53,三玖は俺の嫁,Flash!Flash!
1,False,Hathor,Giana,Ganymede,Daphnis,Vigor,Hathor,None,Ganymede,Vigor,Velajuel,Juno,Artamiel,Antares,Okeanos,None,Antares,Velajuel,Okeanos,2021-01-08 23:52:13,三玖は俺の嫁,哎艾哎
2,False,Vanessa,Ganymede,Giana,Lulu,Hathor,Hathor,None,Vanessa,Hathor,Okeanos,Fran,Ethna,Jager,Seara,None,Jager,Fran,Seara,2021-01-08 23:47:20,三玖は俺の嫁,Hughedingo
3,True,Hathor,Ganymede,Giana,Triana,Vanessa,Hathor,None,Hathor,Vanessa,Seara,Moore/WaterRYU1,Savannah,Bellenus,Okeanos,None,Bellenus,Seara,Okeanos,2021-01-08 23:41:22,三玖は俺の嫁,バブル123
4,True,Fran,Vigor,Laika,Hathor,Odin,None,Hathor,Hathor,Odin,Ragdoll,XingZhe,Hwadam,Artamiel,Vivachel,Ragdoll,None,Artamiel,Vivachel,2021-01-08 23:38:50,三玖は俺の嫁,Ryuu.12
5,True,Ganymede,Fran,Vanessa,Elucia,Hathor,Hathor,None,Vanessa,Hathor,Okeanos,Barbara,Loren,Savannah,Seara,None,Savannah,Okeanos,Seara,2021-01-08 23:35:59,三玖は俺の嫁,SmokeZzz
6,False,Vanessa,Fran,Triana,Mav,Hathor,Hathor,None,Vanessa,Hathor,Seara,Okeanos,Barbara,Ganymede,Verdehile,None,Verdehile,Seara,Verdehile,2021-01-08 23:31:19,三玖は俺の嫁,SmokeZzz
7,True,Hathor,Fran,Seara,Verdehile,Giana,None,Verdehile,Seara,Giana,Ganymede,Juno,Leo,Taranys,Sekhmet,Ganymede,None,Juno,Sekhmet,2021-01-08 23:27:07,三玖は俺の嫁,༺欧皇老项༻
8,True,Juno,Vigor,Triana,Giana,Vanessa,None,Giana,Juno,Vanessa,Bastet,Seara,Kahli,Leah/LightCHUN-LI1,Okeanos,Bastet,None,Seara,Okeanos,2021-01-08 23:22:43,三玖は俺の嫁,しおちゃそ
9,False,Seara,Giana,Eshir,Vanessa,Hathor,Hathor,None,Vanessa,Hathor,Nephthys,Poseidon,Savannah,Tiana,Chiwu,None,Tiana,Nephthys,Chiwu,2021-01-08 23:19:16,三玖は俺の嫁,Angels_paradox
10,True,Chiwu,Ganymede,Seara,Hathor,Giana,Giana,None,Seara,Giana,Fran,Han,Leona,Savannah,Verdehile,None,Savannah,Fran,Verdehile,2021-01-08 23:16:47,三玖は俺の嫁,一文字天羽
11,True,Hathor,Vigor,Giana,Daphnis,Fran,Hathor,None,Giana,Fran,Ragdoll,XingZhe,Velajuel,Artamiel,Molly,None,Artamiel,XingZhe,Molly,2021-01-08 23:14:58,三玖は俺の嫁,砖头软趴趴
12,True,Hathor,Seara,Verdehile,Fran,Giana,Hathor,None,Seara,Giana,Ganymede,Sekhmet,Leo,Artamiel,Juno,None,Artamiel,Sekhmet,Juno,2021-01-08 23:09:04,三玖は俺の嫁,༺欧皇老项༻
13,True,Hathor,Ganymede,Vanessa,Rica,Triana,None,Rica,Vanessa,Triana,Moore/WaterRYU1,Savannah,Ethna,Tablo,Okeanos,Okeanos,None,Moore/WaterRYU1,Okeanos,2021-01-08 23:03:29,三玖は俺の嫁,2NoobsOfficial
14,True,Hathor,Vanessa,Ganymede,Vigor,Giana,None,Vigor,Vanessa,Giana,Fran,Yeonhong,Masha,Juno,Seara,Fran,None,Yeonhong,Seara,2021-01-08 22:58:29,三玖は俺の嫁,豆豆不吃豆1989
