battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
0,True,Seara,Giana,Cheongpung,Oberon,Okeanos,Seara,None,Seara,Okeanos,FengYan,Harmonia,Leona,Leo,Akroma,None,Leo,Leo,Akroma,2021-01-08 15:49:38,欧洲萌新自在℡,むかぽっくん
1,True,Chiwu,Giana,Savannah,Ragdoll,Okeanos,None,Ragdoll,Chiwu,Okeanos,Seara,Ganymede,Juno,Leo,Verdehile,Seara,None,Seara,Verdehile,2021-01-08 15:45:46,欧洲萌新自在℡,♡毒菇求拜♡
2,True,Giana,Chiwu,Ganymede,Mina,Oberon,Giana,None,Chiwu,Oberon,Seara,Okeanos,Verdehile,Juno,XingZhe,None,XingZhe,Seara,XingZhe,2021-01-08 15:41:35,欧洲萌新自在℡,Seiishizo
3,True,Chiwu,Okeanos,Ganymede,Giana,Savannah,None,Savannah,Chiwu,Savannah,Seara,Vigor,Juno,Anavel,Tetra,Seara,None,Seara,Tetra,2021-01-08 15:38:41,欧洲萌新自在℡,Raigeki!
4,False,Seara,Giana,Cheongpung,Ragdoll,Leo,Seara,None,Seara,Leo,Ganymede,Okeanos,Chiwu,Hathor,Vanessa,None,Hathor,Chiwu,Vanessa,2021-01-08 15:35:03,欧洲萌新自在℡,Raigeki!
5,False,Seara,Okeanos,Cheongpung,Ragdoll,Giana,Seara,None,Seara,Giana,Vanessa,Yeonhong,MoLong,Lulu,Velajuel,None,Lulu,Vanessa,Velajuel,2021-01-08 15:32:58,欧洲萌新自在℡,규규구구비둘기
6,True,Okeanos,Cheongpung,Ganymede,Chiwu,Giana,None,Chiwu,Chiwu,Giana,Seara,Yeonhong,MoLong,Velajuel,Verdehile,Seara,None,Seara,Verdehile,2021-01-08 15:28:28,欧洲萌新自在℡,규규구구비둘기
7,True,Seara,Giana,Okeanos,Chiwu,Leona,None,Leona,Chiwu,Leona,Velajuel,Wedjat,Juno,Tetra,Josephine,Velajuel,None,Wedjat,Josephine,2021-01-08 15:20:38,欧洲萌新自在℡,삞힗찶
8,True,Seara,Giana,Ragdoll,Okeanos,Cheongpung,Seara,None,Seara,Cheongpung,Artamiel,Leo,MoLong,Josephine,Molly,None,Josephine,MoLong,Molly,2021-01-08 15:18:00,欧洲萌新自在℡,胎五®狂沙
9,True,Seara,Chiwu,Ganymede,Leona,Ragdoll,None,Leona,Chiwu,Ragdoll,Moore/WaterRYU1,Okeanos,Verdehile,Rica,Giana,Giana,None,Moore/WaterRYU1,Giana,2021-01-08 15:13:40,欧洲萌新自在℡,~khaii~
10,True,Giana,Cheongpung,Ganymede,Savannah,Seara,Seara,None,Ganymede,Seara,Fran,Okeanos,Loren,Vanessa,Verdehile,None,Vanessa,Vanessa,Verdehile,2021-01-08 15:10:46,欧洲萌新自在℡,我爱小路路
11,True,Seara,Chiwu,Ganymede,Savannah,Giana,None,Savannah,Chiwu,Giana,Okeanos,Yeonhong,Cheongpung,Anavel,Moore/WaterRYU1,Okeanos,None,Yeonhong,Moore/WaterRYU1,2021-01-08 15:06:13,欧洲萌新自在℡,ワタルゴ
12,True,Giana,Cheongpung,Ganymede,Ragdoll,Seara,None,Ragdoll,Ganymede,Seara,Molly,Tetra,Leo,MeiHouWang,Verdehile,Molly,None,MeiHouWang,Verdehile,2021-01-08 14:59:57,欧洲萌新自在℡,어깨걸이풍조
13,False,Cheongpung,Ganymede,Okeanos,Savannah,Chiwu,None,Savannah,Ganymede,Chiwu,Seara,Illiana,Nephthys,Ragdoll,Giana,Seara,None,Nephthys,Giana,2021-01-08 14:55:37,欧洲萌新自在℡,暴走の小浚
14,True,Seara,Chiwu,Cheongpung,Ganymede,Leona,None,Leona,Chiwu,Leona,Giana,Artamiel,Akroma,Molly,Ragdoll,Giana,None,Akroma,Ragdoll,2021-01-08 14:48:23,欧洲萌新自在℡,暴走の小浚
15,False,Seara,Giana,Ganymede,Leo,Ragdoll,Seara,None,Seara,Ragdoll,Vanessa,Okeanos,Chiwu,Xiana,Cheongpung,None,Xiana,Vanessa,Cheongpung,2021-01-09 18:33:16,欧洲萌新自在℡,Krom`z
16,True,Seara,Cheongpung,Okeanos,Leona,Giana,None,Leona,Seara,Giana,Ganymede,Akroma,Hathor,Antares,Vigor,Vigor,None,Hathor,Vigor,2021-01-09 18:29:34,欧洲萌新自在℡,SakuraIgnite
17,True,Chiwu,Okeanos,Giana,Fran,Leona,None,Leona,Chiwu,Leona,Ganymede,Verdehile,Juno,Velajuel,Seara,Seara,None,Velajuel,Seara,2021-01-09 18:18:24,欧洲萌新自在℡,sancholoh
18,True,Seara,Giana,Ganymede,Fran,Ragdoll,Seara,None,Seara,Ragdoll,Okeanos,Cheongpung,Moore/WaterRYU1,Oberon,Chiwu,None,Oberon,Moore/WaterRYU1,Chiwu,2021-01-09 18:13:06,欧洲萌新自在℡,XxTrueDMGxX
19,True,Ragdoll,Giana,Chiwu,Ganymede,Okeanos,Ragdoll,None,Chiwu,Okeanos,Fran,Verdehile,Seara,Masha,Barbara,None,Barbara,Seara,Barbara,2021-01-09 18:10:22,欧洲萌新自在℡,Joe-Exotic
20,True,Seara,Giana,Okeanos,Cheongpung,Savannah,None,Savannah,Seara,Savannah,Lulu,Verdehile,Masha,Barbara,Ragdoll,Ragdoll,None,Lulu,Ragdoll,2021-01-09 18:06:19,欧洲萌新自在℡,Joe-Exotic
21,True,Chiwu,Okeanos,Giana,Ganymede,Leona,None,Leona,Chiwu,Leona,Seara,Moore/WaterRYU1,Fran,Molly,Verdehile,Seara,None,Seara,Verdehile,2021-01-09 18:03:09,欧洲萌新自在℡,XxTrueDMGxX
22,True,Okeanos,Giana,Ganymede,Ragdoll,Chiwu,None,Ragdoll,Ganymede,Chiwu,Seara,Cheongpung,Ethna,Fran,Vanessa,Seara,None,Seara,Vanessa,2021-01-09 17:58:45,欧洲萌新自在℡,故事细腻♛
23,False,Seara,Ganymede,Cheongpung,Wedjat,Giana,Seara,None,Wedjat,Giana,Chiwu,Okeanos,Yeonhong,Hathor,Vanessa,None,Vanessa,Chiwu,Vanessa,2021-01-09 17:55:02,欧洲萌新自在℡,БlaБla
24,False,Seara,Chiwu,Ragdoll,Leo,Cheongpung,None,Cheongpung,Chiwu,Cheongpung,Savannah,Moore/WaterRYU1,Sian,Dover,Okeanos,Okeanos,None,Dover,Okeanos,2021-01-09 17:52:17,欧洲萌新自在℡,うま(￣◇￣;)
25,True,Seara,Giana,Cheongpung,Ganymede,Chiwu,Seara,None,Seara,Chiwu,Fran,Okeanos,Ethna,Sekhmet,Vanessa,None,Vanessa,Fran,Vanessa,2021-01-09 17:48:45,欧洲萌新自在℡,[Wish]Santet
26,True,Seara,Chiwu,Savannah,Cheongpung,Okeanos,Seara,None,Chiwu,Okeanos,Giana,Molly,TianLang,Artamiel,Nephthys,None,Artamiel,Artamiel,Nephthys,2021-01-09 17:44:19,欧洲萌新自在℡,/喵喵/
27,True,Giana,Okeanos,Savannah,Cheongpung,Ganymede,None,Ganymede,Okeanos,Ganymede,Seara,Juno,Douglas/FireRYU1,Artamiel,Molly,Seara,None,Seara,Molly,2021-01-09 17:39:51,欧洲萌新自在℡,Nickcłas
28,True,Giana,Okeanos,Cheongpung,Savannah,Ragdoll,None,Ragdoll,Okeanos,Ragdoll,Seara,Barbara,Ganymede,Rica,Chiwu,Seara,None,Seara,Chiwu,2021-01-09 17:35:34,欧洲萌新自在℡,Nickcłas
29,True,Ragdoll,Chiwu,Ganymede,Magnum,Seara,Seara,None,Chiwu,Seara,Bastet,Leo,Moore/WaterRYU1,Lucifer,Miho,None,Miho,Lucifer,Miho,2021-01-09 17:33:13,欧洲萌新自在℡,ヒダリムキ
