monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Seara,19,63.3,14,73.7,9,47.4,3,15.8,11,57.9,0,0.0,7,63.6,0,0.0,<--,Seara,11,36.7,10,90.9,9,81.8,1,9.1,9,81.8,0,0.0,1,11.1,0,0.0
Giana,24,80.0,20,83.3,0,0.0,5,20.8,1,4.2,0,0.0,1,100.0,0,0.0,<--,Giana,4,13.3,3,75.0,0,0.0,2,50.0,2,50.0,0,0.0,0,0.0,0,0.0
Cheongpung,17,56.7,12,70.6,0,0.0,2,11.8,0,0.0,1,5.9,0,0.0,0,0.0,<--,Cheongpung,4,13.3,3,75.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0
Oberon,2,6.7,2,100.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Oberon,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0
Okeanos,17,56.7,15,88.2,2,11.8,4,23.5,0,0.0,0,0.0,0,0.0,0,0.0,<--,Okeanos,10,33.3,6,60.0,0,0.0,1,10.0,2,20.0,0,0.0,1,50.0,0,0.0
FengYan,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,FengYan,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Harmonia,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Harmonia,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Leona,6,20.0,6,100.0,0,0.0,4,66.7,0,0.0,6,100.0,0,0.0,6,100.0,<--,Leona,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Leo,3,10.0,0,0.0,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,<--,Leo,5,16.7,5,100.0,1,20.0,0,0.0,0,0.0,1,20.0,0,0.0,0,0.0
Akroma,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Akroma,3,10.0,3,100.0,1,33.3,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
