monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
QitianDasheng,24,100.0,13,54.2,0,0.0,3,12.5,1,4.2,0,0.0,1,100.0,0,0.0,<--,QitianDasheng,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Savannah,19,79.2,9,47.4,0,0.0,4,21.1,0,0.0,3,15.8,0,0.0,1,33.3,<--,Savannah,1,4.2,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Chiwu,21,87.5,11,52.4,14,66.7,2,9.5,7,33.3,0,0.0,4,57.1,0,0.0,<--,Chiwu,2,8.3,2,100.0,1,50.0,1,50.0,2,100.0,0,0.0,0,0.0,0,0.0
Giana,24,100.0,13,54.2,0,0.0,3,12.5,1,4.2,0,0.0,0,0.0,0,0.0,<--,Giana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Psamathe,6,25.0,5,83.3,5,83.3,1,16.7,0,0.0,3,50.0,0,0.0,3,100.0,<--,Psamathe,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Seara,2,8.3,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Seara,11,45.8,6,54.5,10,90.9,0,0.0,4,36.4,0,0.0,2,50.0,0,0.0
Draco,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Draco,1,4.2,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Okeanos,1,4.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Okeanos,7,29.2,2,28.6,0,0.0,0,0.0,4,57.1,0,0.0,4,100.0,0,0.0
Daphnis,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Daphnis,1,4.2,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Moore/WaterRYU,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Moore/WaterRYU,1,4.2,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
