#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc
0,6,NL,Seiishizo,1800,195,53,0,1,248,0.786290322580645
1,5,TH,HONG_KFC,1738,225,82,0,2,307,0.732899022801302
2,4,CA,Faintmemory,1725,257,103,0,3,360,0.713888888888888
3,4,UY,Elmimo,1706,237,103,0,4,340,0.6970588235294111
4,2,JP,kamechan♪,1685,279,133,0,5,412,0.6771844660194171
5,6,DK,BiigDaddyD,1685,234,120,0,5,354,0.661016949152542
6,2,VA,伝説のジェダイ,1677,262,111,0,7,373,0.702412868632707
7,6,FI,Viilipytty,1676,218,109,0,8,327,0.6666666666666661
8,2,JP,貝柱太郎,1676,218,113,0,8,331,0.658610271903323
9,2,JP,まつ@げりらじ,1669,239,100,0,10,339,0.705014749262536
10,6,AQ,NotWWWTrustMe,1666,241,130,0,11,371,0.649595687331536
11,4,US,KĪRĪN_,1656,214,122,0,12,336,0.6369047619047611
12,3,CN,Himiko.,1615,99,34,0,13,133,0.7443609022556391
13,5,MY,JinYao,1609,243,136,1,14,380,0.6394736842105261
14,4,US,Ex|Shizzy,1601,90,33,0,15,123,0.73170731707317
15,3,CN,徐小超,1593,184,92,0,16,276,0.6666666666666661
16,6,NL,PinkRoid~,1592,95,32,0,17,127,0.748031496062992
17,4,BR,Pandalik3,1591,188,96,0,18,284,0.661971830985915
18,4,US,TopaV,1587,161,79,0,19,240,0.6708333333333331
19,2,JP,Shaja⛵,1583,82,23,0,20,105,0.7809523809523811
20,3,CN,俏皮可爱小尾巴,1582,219,129,0,21,348,0.6293103448275861
21,4,US,K1llerWhale,1576,137,71,0,22,208,0.658653846153846
22,4,KR,Fenrir♂,1575,129,68,0,23,197,0.65482233502538
23,6,FR,SheisouTV,1574,140,72,0,24,212,0.660377358490566
24,4,ID,[Wish]Clown®,1572,210,120,0,25,330,0.636363636363636
25,6,BE,CompoteDePomme,1571,196,114,0,26,310,0.6322580645161291
26,2,JP,ごば(乂Д･),1570,179,104,1,27,284,0.630281690140845
27,2,JP,XカブレラX,1568,214,130,0,28,344,0.6220930232558141
28,5,TH,Krom`z,1566,262,146,0,29,408,0.6421568627450981
29,4,SE,Catch~,1566,140,79,0,29,219,0.639269406392694
30,6,FR,GutsTheBERSERK,1565,154,85,0,31,239,0.644351464435146
31,1,KR,Jack-,1564,218,138,0,32,356,0.612359550561797
32,2,JP,ʚしるばɞ,1563,227,157,0,33,384,0.591145833333333
33,2,JP,“nao”,1563,195,121,1,33,317,0.6151419558359621
34,2,JP,takuzo10,1563,213,129,0,33,342,0.622807017543859
35,2,JP,南国@8∞8,1562,194,135,0,36,329,0.5896656534954401
36,2,JP,おんちゃ,1560,91,34,0,37,125,0.728
37,6,LT,Liuc,1560,135,77,0,37,212,0.636792452830188
38,5,SG,-RememberYS-,1559,172,102,0,39,274,0.627737226277372
39,2,JP,hirorin”,1559,95,41,0,39,136,0.6985294117647051
40,6,FR,Armey,1558,145,91,0,41,236,0.6144067796610171
41,3,CN,焦Man,1557,148,92,1,42,241,0.6141078838174271
42,4,CN,Ma梦dy,1556,219,130,0,43,349,0.6275071633237821
43,2,JP,えれま,1556,168,94,0,43,262,0.641221374045801
44,6,FR,Rosith,1555,107,49,0,45,156,0.685897435897435
45,1,KG,바니횽,1555,117,57,2,45,176,0.6647727272727271
46,5,VN,BabyDarkness,1555,142,79,0,45,221,0.6425339366515831
47,6,FR,Leinsdorf,1555,150,87,0,45,237,0.632911392405063
48,6,FR,1piss,1554,122,62,0,49,184,0.6630434782608691
49,2,JP,ねぎだぜー！,1554,131,77,0,49,208,0.6298076923076921
50,5,PH,hopsteph,1554,168,108,0,49,276,0.6086956521739131
51,4,ID,Carsten30,1553,175,128,0,52,303,0.577557755775577
52,5,MY,[MY]GranZ,1553,148,96,0,52,244,0.60655737704918
53,2,FR,☆étoile☆,1552,227,149,0,54,376,0.603723404255319
54,2,DE,Dの類い,1552,119,69,0,54,188,0.6329787234042551
55,4,BR,JeffBoladãoSw,1552,175,111,0,54,286,0.6118881118881111
56,4,US,Enlist,1552,143,84,1,54,228,0.6271929824561401
57,6,FR,SaPyn,1552,173,115,0,54,288,0.6006944444444441
58,6,DE,dYU1994,1551,151,86,0,59,237,0.637130801687763
59,5,TH,Mr.VSR`,1551,132,73,0,59,205,0.64390243902439
60,2,JP,アイアム快,1551,187,130,0,59,317,0.589905362776025
61,6,AU,Turtle™,1551,132,72,0,59,204,0.647058823529411
62,4,US,FlagBearer,1551,72,27,0,59,99,0.7272727272727271
63,2,JP,ゴギッチ!,1550,181,125,0,64,306,0.591503267973856
64,6,FI,Miesmies,1550,108,55,0,64,163,0.662576687116564
65,3,CN,有暗奥就有天下,1549,99,51,0,66,150,0.66
66,6,DE,FatSteveAustin,1549,169,104,0,66,273,0.6190476190476191
67,3,CN,被帅贯穿一生,1549,124,72,0,66,196,0.632653061224489
68,2,JP,うま(￣◇￣;),1548,128,69,0,69,197,0.6497461928934011
69,4,MY,Lee-A-Z,1548,161,102,0,69,263,0.612167300380228
70,6,JP,WilShizle°,1548,178,112,0,69,290,0.6137931034482751
71,3,ES,海贼༒LOCO,1547,172,118,0,72,290,0.593103448275862
72,6,FR,Albuza,1547,160,101,0,72,261,0.613026819923371
73,1,KR,쳔빈,1547,201,148,0,72,349,0.5759312320916901
74,2,JP,マルク⑨,1546,135,77,0,75,212,0.636792452830188
75,3,CN,俏皮可爱小瓦瓦,1546,111,65,0,75,176,0.630681818181818
76,4,CA,Sir☆Leafy,1546,139,82,1,75,222,0.6261261261261261
77,2,JP,バル先生,1546,147,81,0,75,228,0.644736842105263
78,5,VN,Chali/mink,1546,146,96,1,75,243,0.6008230452674891
79,6,US,DienTran,1545,150,94,0,80,244,0.6147540983606551
80,4,CA,Raigeki!,1545,59,16,0,80,75,0.7866666666666661
81,2,JP,田中翼,1545,147,63,0,80,210,0.7000000000000001
82,2,JP,サマーベイブ,1543,204,126,0,83,330,0.618181818181818
83,2,JP,翔ジョー,1543,77,30,0,83,107,0.719626168224299
84,6,BE,Video~,1543,131,83,0,83,214,0.61214953271028
85,4,SG,LuckyTonkatsu,1543,90,41,0,83,131,0.687022900763358
86,2,JP,@Ken汰,1543,157,98,0,83,255,0.6156862745098041
87,4,US,0aiur0,1543,133,86,0,83,219,0.607305936073059
88,3,CN,砖头软趴趴,1542,120,71,0,89,191,0.6282722513089001
89,3,CN,娄帅帅,1542,85,36,0,89,121,0.7024793388429751
90,4,FR,/BonTemps/,1542,182,126,0,89,308,0.59090909090909
91,4,TW,Ö　　　　　Ö,1542,69,26,0,89,95,0.726315789473684
92,4,US,Qdizzle3,1541,161,117,0,93,278,0.5791366906474821
